##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Wickerhamiella_fastp_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4554908
Total Bases	654 Mbp
Sequences flagged as poor quality	0
Sequence length	15-151
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.173808120822635	37.0	37.0	37.0	25.0	37.0
2	34.16504131367746	37.0	37.0	37.0	25.0	37.0
3	35.38180705296353	37.0	37.0	37.0	37.0	37.0
4	34.98997301372498	37.0	37.0	37.0	25.0	37.0
5	34.98785749349932	37.0	37.0	37.0	25.0	37.0
6	35.18041901175611	37.0	37.0	37.0	25.0	37.0
7	35.11300689278466	37.0	37.0	37.0	25.0	37.0
8	35.14546638483148	37.0	37.0	37.0	25.0	37.0
9	35.245118452447336	37.0	37.0	37.0	25.0	37.0
10-14	35.27536898659643	37.0	37.0	37.0	34.6	37.0
15-19	35.26286602422078	37.0	37.0	37.0	32.2	37.0
20-24	35.22790941641553	37.0	37.0	37.0	27.4	37.0
25-29	35.18967385653617	37.0	37.0	37.0	25.0	37.0
30-34	35.135949901077915	37.0	37.0	37.0	25.0	37.0
35-39	35.15041683761898	37.0	37.0	37.0	25.0	37.0
40-44	35.053371335359785	37.0	37.0	37.0	25.0	37.0
45-49	35.028858676643196	37.0	37.0	37.0	25.0	37.0
50-54	34.98255270972082	37.0	37.0	37.0	25.0	37.0
55-59	34.90032643587518	37.0	37.0	37.0	25.0	37.0
60-64	34.903414961013254	37.0	37.0	37.0	25.0	37.0
65-69	34.83297936684034	37.0	37.0	37.0	25.0	37.0
70-74	34.86365517369181	37.0	37.0	37.0	25.0	37.0
75-79	34.76442761342196	37.0	37.0	37.0	25.0	37.0
80-84	34.79073152185597	37.0	37.0	37.0	25.0	37.0
85-89	34.79393248976937	37.0	37.0	37.0	25.0	37.0
90-94	34.720750862795974	37.0	37.0	37.0	25.0	37.0
95-99	34.674706654912065	37.0	37.0	37.0	25.0	37.0
100-104	34.690567543978815	37.0	37.0	37.0	25.0	37.0
105-109	34.60792413379375	37.0	37.0	37.0	25.0	37.0
110-114	34.52756199575667	37.0	37.0	37.0	25.0	37.0
115-119	34.536936975051525	37.0	37.0	37.0	25.0	37.0
120-124	34.421477485487806	37.0	37.0	37.0	25.0	37.0
125-129	34.278443680743194	37.0	37.0	37.0	25.0	37.0
130-134	34.3085526195875	37.0	37.0	37.0	25.0	37.0
135-139	34.23576470601004	37.0	37.0	37.0	25.0	37.0
140-144	34.16086245966875	37.0	37.0	37.0	25.0	37.0
145-149	34.038364636395485	37.0	37.0	37.0	25.0	37.0
150-151	33.60366983908793	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	-0.09745217174781828
1101	2	-0.4706213472107166
1101	3	-0.1724035154369261
1101	4	-0.37258294871227804
1101	5	0.14008317401238202
1101	6	-0.007471909860299775
1101	7	-0.22980052462487066
1101	8	-0.17145020525706656
1101	9	-0.029845653790985693
1101	10-14	-0.083213612495598
1101	15-19	-0.0837551411655113
1101	20-24	-0.12437473801850985
1101	25-29	-0.16209759073441887
1101	30-34	-0.2104407541904152
1101	35-39	-0.13010854866306687
1101	40-44	-0.11189088194130647
1101	45-49	-0.07809620930471795
1101	50-54	-0.013884199459489821
1101	55-59	-0.07128093652310241
1101	60-64	-0.11013593121710841
1101	65-69	0.021867456663969165
1101	70-74	-0.03117570818260873
1101	75-79	-0.01070429627893077
1101	80-84	-0.06557036756337453
1101	85-89	-0.13524227048919357
1101	90-94	-0.15027558588582934
1101	95-99	-0.08319667242211892
1101	100-104	0.1671997452221632
1101	105-109	0.06913159333699781
1101	110-114	0.05775804622643932
1101	115-119	0.16986664664800344
1101	120-124	0.1525295075817965
1101	125-129	0.1945999223367565
1101	130-134	0.1445514985285854
1101	135-139	0.3337458140763587
1101	140-144	0.18260297413804238
1101	145-149	0.036021560583087364
1101	150-151	0.34525713470916486
1102	1	-0.036319036024373474
1102	2	-0.5457974501849492
1102	3	-0.14592360865127318
1102	4	0.030521674971325297
1102	5	-0.06193875110236746
1102	6	-0.22867754919378314
1102	7	-0.25371811050015936
1102	8	0.13787654991152465
1102	9	-8.950892214443229E-4
1102	10-14	-0.08714914960066267
1102	15-19	-0.13267623251437755
1102	20-24	0.002988852586405244
1102	25-29	-0.05705113499656278
1102	30-34	-0.06805717783567644
1102	35-39	0.00785922921838278
1102	40-44	0.03282677293031355
1102	45-49	-0.008741467630457578
1102	50-54	-0.07696184687657137
1102	55-59	0.02579828511902349
1102	60-64	0.01922015523567211
1102	65-69	0.06780414114827948
1102	70-74	0.050589911660395614
1102	75-79	0.09178548425863653
1102	80-84	0.04821296223043703
1102	85-89	0.17295726923860144
1102	90-94	0.011806278065812137
1102	95-99	0.12412354855612051
1102	100-104	0.23434991389208193
1102	105-109	0.1739211203830351
1102	110-114	0.18775459734805366
1102	115-119	0.19488728552820334
1102	120-124	0.1876792414234174
1102	125-129	0.3077035071041436
1102	130-134	0.19755041445583998
1102	135-139	0.2847765552371655
1102	140-144	0.3273044801579559
1102	145-149	0.3403413219963838
1102	150-151	0.2643650521113088
1103	1	0.6372232253268706
1103	2	-0.008322876083198594
1103	3	0.32435411386678226
1103	4	-0.34622112674290406
1103	5	0.3664091785085688
1103	6	0.2859572817037517
1103	7	-0.19273065265818445
1103	8	0.036303267036743136
1103	9	0.007524179407120357
1103	10-14	0.050012834382762605
1103	15-19	0.08738381809838103
1103	20-24	0.15710904325558062
1103	25-29	-0.09957079332184549
1103	30-34	0.21868582698568417
1103	35-39	0.09043060860348362
1103	40-44	-0.05243642798606629
1103	45-49	-0.1131878705131868
1103	50-54	-0.06846120046829896
1103	55-59	0.024379151912008012
1103	60-64	-0.06333994017077771
1103	65-69	-0.0504000765923891
1103	70-74	0.27031540027003587
1103	75-79	-0.017282319798205492
1103	80-84	0.16655367770324148
1103	85-89	0.31131913896145136
1103	90-94	0.39748740307192065
1103	95-99	0.2714566005057506
1103	100-104	0.07097961961603261
1103	105-109	0.13705244541280592
1103	110-114	0.3126635359549681
1103	115-119	0.4129000931912472
1103	120-124	0.1931483463677921
1103	125-129	0.3160392164764332
1103	130-134	0.46162434346525316
1103	135-139	0.10748526336878683
1103	140-144	0.3870059956961853
1103	145-149	0.3904992077522138
1103	150-151	0.1417882364924239
1104	1	-0.3153444417913036
1104	2	-0.10927104746696159
1104	3	-0.037376833591693526
1104	4	0.06783747452607969
1104	5	-0.0901626710197192
1104	6	-0.21666860646430308
1104	7	-0.4922720133672911
1104	8	-0.13790837242049747
1104	9	-0.18569841511296659
1104	10-14	-0.36836125368549233
1104	15-19	-0.2638103075165077
1104	20-24	-0.1943179665588346
1104	25-29	-0.2691960398701667
1104	30-34	-0.23064284866366336
1104	35-39	-0.34511468473397144
1104	40-44	-0.15633604924760647
1104	45-49	-0.4193485735400202
1104	50-54	-0.2623610982522564
1104	55-59	-0.18444811629150593
1104	60-64	-0.04962606346836651
1104	65-69	-0.09540769367602309
1104	70-74	-0.057782954373124085
1104	75-79	-0.07950492676313559
1104	80-84	-0.17076967642011454
1104	85-89	0.11587241650678237
1104	90-94	0.15875821537321144
1104	95-99	0.06113011519845912
1104	100-104	-0.03935875081249662
1104	105-109	-0.28966314258870085
1104	110-114	0.11101289899772837
1104	115-119	0.17227945798897792
1104	120-124	0.24290030229219184
1104	125-129	0.0572321802806286
1104	130-134	0.14775239715443433
1104	135-139	0.30089167473038003
1104	140-144	0.31864910286154924
1104	145-149	-0.03627572099751575
1104	150-151	-0.04684344484518732
1105	1	-0.4642357267755983
1105	2	-0.39269267170710975
1105	3	-0.0775062227436294
1105	4	-0.11090082497543108
1105	5	-0.2562433360924672
1105	6	-0.06982442038145109
1105	7	0.11643518898296179
1105	8	-0.7048766345741697
1105	9	0.3083399953381729
1105	10-14	-0.31011425792032554
1105	15-19	0.06072206321154283
1105	20-24	0.05297470607723653
1105	25-29	0.0835925463814533
1105	30-34	-0.03973110511861222
1105	35-39	0.08509024891964856
1105	40-44	0.047517850799607686
1105	45-49	0.015208764546734699
1105	50-54	0.06331426605260049
1105	55-59	0.11805918358943046
1105	60-64	-0.14142785882166464
1105	65-69	0.07649409863766721
1105	70-74	0.043511755214900916
1105	75-79	0.19783815733897114
1105	80-84	0.233254274124711
1105	85-89	0.30796573034781716
1105	90-94	0.22533129153893583
1105	95-99	0.32378418883999416
1105	100-104	0.06616120569456996
1105	105-109	0.12959504276756206
1105	110-114	0.10622534115488236
1105	115-119	0.21188118381660814
1105	120-124	0.385825004938404
1105	125-129	0.14282024705421037
1105	130-134	0.019193262492379404
1105	135-139	0.00832071993885819
1105	140-144	-0.11525385641835584
1105	145-149	0.19196407982318675
1105	150-151	0.5251429088515138
1106	1	-0.06865589835313557
1106	2	-0.3456519587861919
1106	3	-0.45774618375576637
1106	4	-0.20643655998173926
1106	5	-0.25154777405612094
1106	6	-0.19984584823456686
1106	7	-0.14605214382950038
1106	8	0.34356423770190503
1106	9	0.22380440730992746
1106	10-14	-0.0185979859026304
1106	15-19	-0.11778046249028051
1106	20-24	0.030923356586633588
1106	25-29	-0.12950087751099204
1106	30-34	-0.10741594502525942
1106	35-39	-0.02009690658231733
1106	40-44	0.11905913663665046
1106	45-49	-0.03372178775386914
1106	50-54	-0.09245144706012098
1106	55-59	0.1257552575195362
1106	60-64	-0.1463511594959641
1106	65-69	-0.015152993497125067
1106	70-74	0.02229600190020875
1106	75-79	0.29420430890623095
1106	80-84	0.13422028402594322
1106	85-89	-0.0770914672919929
1106	90-94	0.1340579903182686
1106	95-99	0.08683387644739327
1106	100-104	-0.014732065113776116
1106	105-109	-0.11862797421814975
1106	110-114	0.3118842884489581
1106	115-119	0.2175137951744972
1106	120-124	0.1827326927494326
1106	125-129	0.24674645952417507
1106	130-134	1.1567182809812948E-4
1106	135-139	0.03178497597832575
1106	140-144	0.26621754579882406
1106	145-149	0.043577423731420595
1106	150-151	0.3715402863661268
1107	1	-0.0538167777370262
1107	2	0.052556846633713405
1107	3	-0.2177955960200464
1107	4	-0.14937311540646903
1107	5	0.05507848779027569
1107	6	0.06599213358326494
1107	7	0.2753109398046192
1107	8	-0.17166670672860107
1107	9	0.15980008373679766
1107	10-14	0.08228950468781449
1107	15-19	-0.09126615030513818
1107	20-24	-0.04144862511538605
1107	25-29	-0.24304717255625263
1107	30-34	-0.022754206717237935
1107	35-39	0.0246746866563754
1107	40-44	0.08933272627191258
1107	45-49	0.10563983191531179
1107	50-54	0.12929475039314298
1107	55-59	0.16390073082723688
1107	60-64	0.0966437922176766
1107	65-69	0.2683831006929651
1107	70-74	0.2012047886166286
1107	75-79	0.30851978351856246
1107	80-84	0.22272375644339348
1107	85-89	0.07260180548724549
1107	90-94	0.15856779679108257
1107	95-99	-0.07310414893948547
1107	100-104	0.5377962500603957
1107	105-109	0.3039380719980258
1107	110-114	0.050675650255818994
1107	115-119	0.33958526680405754
1107	120-124	0.19687117838692103
1107	125-129	0.27981163505672413
1107	130-134	0.5440289232871152
1107	135-139	0.33502732861621354
1107	140-144	0.46207733565363185
1107	145-149	0.2691223961413769
1107	150-151	0.44843691229956306
1108	1	-0.09063383465688446
1108	2	0.23629946989661477
1108	3	0.38327046147091437
1108	4	-0.03785588715594912
1108	5	0.5058685125380364
1108	6	0.1658969498787144
1108	7	-0.08216098100254499
1108	8	0.031569539226090626
1108	9	-0.0877536950562714
1108	10-14	-0.02060788727868612
1108	15-19	-0.23203142728971216
1108	20-24	0.003782671286671757
1108	25-29	-0.18919603987016131
1108	30-34	0.12363071618396759
1108	35-39	0.14817744698380864
1108	40-44	-0.12816842371019987
1108	45-49	0.32344405866437853
1108	50-54	-0.104829126632346
1108	55-59	0.08498831744770285
1108	60-64	0.12933733399077596
1108	65-69	0.06190548978964472
1108	70-74	0.14905395501562424
1108	75-79	0.21616312814902727
