##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Y7002_S238_L003_R1_001.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4632509
Total Bases	699.5 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.57609256668471	37.0	37.0	37.0	37.0	37.0
2	35.606305352024144	37.0	37.0	37.0	37.0	37.0
3	35.72582589693835	37.0	37.0	37.0	37.0	37.0
4	35.73234482652921	37.0	37.0	37.0	37.0	37.0
5	35.8614627624037	37.0	37.0	37.0	37.0	37.0
6	35.919228003658496	37.0	37.0	37.0	37.0	37.0
7	35.847453075644324	37.0	37.0	37.0	37.0	37.0
8	35.90867130533368	37.0	37.0	37.0	37.0	37.0
9	35.881919927192804	37.0	37.0	37.0	37.0	37.0
10-14	35.92936782205928	37.0	37.0	37.0	37.0	37.0
15-19	35.914174802466654	37.0	37.0	37.0	37.0	37.0
20-24	35.87879397535979	37.0	37.0	37.0	37.0	37.0
25-29	35.77187627698079	37.0	37.0	37.0	37.0	37.0
30-34	35.7293957550865	37.0	37.0	37.0	37.0	37.0
35-39	35.71394356708211	37.0	37.0	37.0	37.0	37.0
40-44	35.67552071674335	37.0	37.0	37.0	37.0	37.0
45-49	35.619017383452466	37.0	37.0	37.0	37.0	37.0
50-54	35.53042685939736	37.0	37.0	37.0	37.0	37.0
55-59	35.51604113451263	37.0	37.0	37.0	37.0	37.0
60-64	35.4647020437521	37.0	37.0	37.0	37.0	37.0
65-69	35.42551662608751	37.0	37.0	37.0	37.0	37.0
70-74	35.38571495489809	37.0	37.0	37.0	37.0	37.0
75-79	35.43697395946775	37.0	37.0	37.0	37.0	37.0
80-84	35.4049162559641	37.0	37.0	37.0	37.0	37.0
85-89	35.351638129575136	37.0	37.0	37.0	37.0	37.0
90-94	35.313318031330326	37.0	37.0	37.0	37.0	37.0
95-99	35.2795521821976	37.0	37.0	37.0	37.0	37.0
100-104	35.18790111362979	37.0	37.0	37.0	27.4	37.0
105-109	35.107751587746506	37.0	37.0	37.0	25.0	37.0
110-114	35.10620439161586	37.0	37.0	37.0	25.0	37.0
115-119	35.11519429320051	37.0	37.0	37.0	25.0	37.0
120-124	35.03981039216545	37.0	37.0	37.0	25.0	37.0
125-129	35.011406777623094	37.0	37.0	37.0	25.0	37.0
130-134	34.89034952765338	37.0	37.0	37.0	25.0	37.0
135-139	34.87950736846922	37.0	37.0	37.0	25.0	37.0
140-144	34.77017408924623	37.0	37.0	37.0	25.0	37.0
145-149	34.65996055269402	37.0	37.0	37.0	25.0	37.0
150-151	34.239143086392275	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.007046550216138314
1101	2	0.18554728632131656
1101	3	0.09210739951394231
1101	4	-0.025202918973455724
1101	5	0.01300574169007973
1101	6	0.029252510973755363
1101	7	-0.009168874619831513
1101	8	-0.06973629195009323
1101	9	-0.012489957142676644
1101	10-14	-0.010982063474422432
1101	15-19	0.007942027237625382
1101	20-24	-0.041356656375889145
1101	25-29	-0.21286007222963121
1101	30-34	-0.2527951941097655
1101	35-39	-0.10943546680510963
1101	40-44	-0.2565844124641501
1101	45-49	-0.20239013545001683
1101	50-54	-0.2506380426438426
1101	55-59	-0.241065059182219
1101	60-64	-0.23643444885426845
1101	65-69	-0.13040908944565643
1101	70-74	-0.13658117633517008
1101	75-79	-0.24707074960485187
1101	80-84	-0.20260912077260684
1101	85-89	-0.2173471706546266
1101	90-94	-0.11140828089210686
1101	95-99	-0.28160954415454853
1101	100-104	-0.1534100552305091
1101	105-109	-0.24062238105902622
1101	110-114	-0.17952187781855855
1101	115-119	-0.18087694505612717
1101	120-124	-0.29608653204838475
1101	125-129	-0.3937586892618796
1101	130-134	-0.43159660817843815
1101	135-139	-0.2604057612203192
1101	140-144	-0.3131015906683743
1101	145-149	-0.40166411788558065
1101	150-151	-0.2766221361453418
1102	1	0.05639141128415304
1102	2	0.2105719146238556
1102	3	0.13020088876969993
1102	4	0.14839709586034644
1102	5	0.17687940632367827
1102	6	0.16035275858265408
1102	7	0.14866264645722538
1102	8	0.11311682686728375
1102	9	0.15095974778623145
1102	10-14	0.03037767801862401
1102	15-19	-0.030052370608608214
1102	20-24	-0.01547629300350195
1102	25-29	0.0033520240601063733
1102	30-34	-0.033500840585510616
1102	35-39	-0.07158778007114819
1102	40-44	-0.18749279358366522
1102	45-49	-0.048810620774617064
1102	50-54	-0.065792791724256
1102	55-59	-0.043754818733020784
1102	60-64	-0.2959346413547763
1102	65-69	-0.06343859296578813
1102	70-74	-0.07354998008651847
1102	75-79	-0.086462101058153
1102	80-84	-0.06689430784302175
1102	85-89	-0.06499479442467049
1102	90-94	-0.12422534200041468
1102	95-99	-0.09307490273485541
1102	100-104	-0.08202551297200245
1102	105-109	-0.10507018171821869
1102	110-114	-0.0642930115538789
1102	115-119	-0.138292361964794
1102	120-124	-0.12366489550889526
1102	125-129	-0.32715206760305193
1102	130-134	-0.2989363786651893
1102	135-139	-0.2406615047837164
1102	140-144	-0.3146009693034344
1102	145-149	-0.16360704322748632
1102	150-151	-0.09595469070394103
1103	1	-0.030760678932850283
1103	2	0.0176087946577681
1103	3	0.11210328917541545
1103	4	0.1636438628326502
1103	5	0.2853728667134021
1103	6	0.11324936944438946
1103	7	-0.28540255801568293
1103	8	-0.07638147072417922
1103	9	0.11524768807515073
1103	10-14	0.11592294234198164
1103	15-19	-0.01857083966038431
1103	20-24	0.06982492394277529
1103	25-29	0.016921894429295037
