Assembly	clean_contigs
# contigs (>= 0 bp)	97
# contigs (>= 1000 bp)	65
# contigs (>= 5000 bp)	51
# contigs (>= 10000 bp)	46
# contigs (>= 25000 bp)	41
# contigs (>= 50000 bp)	36
Total length (>= 0 bp)	11374711
Total length (>= 1000 bp)	11352180
Total length (>= 5000 bp)	11323393
Total length (>= 10000 bp)	11284998
Total length (>= 25000 bp)	11195443
Total length (>= 50000 bp)	11025485
# contigs	97
Largest contig	1135593
Total length	11374711
GC (%)	53.96
N50	402447
N90	134160
auN	473507.9
L50	9
L90	27
# N's per 100 kbp	0.00
