Assembly	clean_contigs
# contigs (>= 0 bp)	94
# contigs (>= 1000 bp)	65
# contigs (>= 5000 bp)	50
# contigs (>= 10000 bp)	45
# contigs (>= 25000 bp)	40
# contigs (>= 50000 bp)	36
Total length (>= 0 bp)	11373587
Total length (>= 1000 bp)	11353961
Total length (>= 5000 bp)	11323371
Total length (>= 10000 bp)	11285266
Total length (>= 25000 bp)	11195063
Total length (>= 50000 bp)	11057480
# contigs	94
Largest contig	1135595
Total length	11373587
GC (%)	53.96
N50	402432
N90	134160
auN	487312.0
L50	9
L90	27
# N's per 100 kbp	0.00
