##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Wickerhamiella_fastp_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4554908
Total Bases	654 Mbp
Sequences flagged as poor quality	0
Sequence length	23-151
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.63070165193238	37.0	37.0	37.0	37.0	37.0
2	35.6508441004736	37.0	37.0	37.0	37.0	37.0
3	35.77154203773161	37.0	37.0	37.0	37.0	37.0
4	35.77932024093571	37.0	37.0	37.0	37.0	37.0
5	35.90789012643066	37.0	37.0	37.0	37.0	37.0
6	35.96310046218277	37.0	37.0	37.0	37.0	37.0
7	35.88633798970254	37.0	37.0	37.0	37.0	37.0
8	35.951111196976974	37.0	37.0	37.0	37.0	37.0
9	35.92589531994938	37.0	37.0	37.0	37.0	37.0
10-14	35.97173378693928	37.0	37.0	37.0	37.0	37.0
15-19	35.95621018031538	37.0	37.0	37.0	37.0	37.0
20-24	35.923622997229906	37.0	37.0	37.0	37.0	37.0
25-29	35.82382327454765	37.0	37.0	37.0	37.0	37.0
30-34	35.78393132356664	37.0	37.0	37.0	37.0	37.0
35-39	35.77177242152576	37.0	37.0	37.0	37.0	37.0
40-44	35.74056372632011	37.0	37.0	37.0	37.0	37.0
45-49	35.71178029965832	37.0	37.0	37.0	37.0	37.0
50-54	35.676780986513165	37.0	37.0	37.0	37.0	37.0
55-59	35.66295651665705	37.0	37.0	37.0	37.0	37.0
60-64	35.61815368276531	37.0	37.0	37.0	37.0	37.0
65-69	35.584676243865914	37.0	37.0	37.0	37.0	37.0
70-74	35.55416329401269	37.0	37.0	37.0	37.0	37.0
75-79	35.53579062426927	37.0	37.0	37.0	37.0	37.0
80-84	35.49846962804257	37.0	37.0	37.0	37.0	37.0
85-89	35.46330183773328	37.0	37.0	37.0	37.0	37.0
90-94	35.452515665326814	37.0	37.0	37.0	37.0	37.0
95-99	35.45078690885224	37.0	37.0	37.0	37.0	37.0
100-104	35.38999352345821	37.0	37.0	37.0	37.0	37.0
105-109	35.33009427431873	37.0	37.0	37.0	37.0	37.0
110-114	35.34120598979048	37.0	37.0	37.0	37.0	37.0
115-119	35.363412605038256	37.0	37.0	37.0	34.6	37.0
120-124	35.30382884292128	37.0	37.0	37.0	32.2	37.0
125-129	35.29564990455363	37.0	37.0	37.0	37.0	37.0
130-134	35.20023496353109	37.0	37.0	37.0	29.8	37.0
135-139	35.22150944133934	37.0	37.0	37.0	25.0	37.0
140-144	35.15545619257643	37.0	37.0	37.0	25.0	37.0
145-149	35.09397482631396	37.0	37.0	37.0	25.0	37.0
150-151	34.73345139529706	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.002250897956621145
1101	2	0.17248583547951313
1101	3	0.08685975967785708
1101	4	-0.03254385877785637
1101	5	0.007405964718785185
1101	6	0.026642219346506124
1101	7	-0.013265604656460539
1101	8	-0.04113294237463094
1101	9	-0.026090657737960044
1101	10-14	-0.022204200822507403
1101	15-19	0.016797346419835435
1101	20-24	-0.034825687979363806
1101	25-29	-0.19690259522585762
1101	30-34	-0.2399664304851683
1101	35-39	-0.09080636207162485
1101	40-44	-0.23560538419189925
1101	45-49	-0.1744134928992196
1101	50-54	-0.23689286236266582
1101	55-59	-0.20884593793141448
1101	60-64	-0.2198818635977986
1101	65-69	-0.09213306823970413
1101	70-74	-0.10356968330042804
1101	75-79	-0.21775389483524776
1101	80-84	-0.17743695974591134
1101	85-89	-0.18173830432597526
1101	90-94	-0.08450809330138043
1101	95-99	-0.2562681868909351
1101	100-104	-0.11904609796118848
1101	105-109	-0.20875284458751509
1101	110-114	-0.15045944038451609
1101	115-119	-0.13366516973765386
1101	120-124	-0.22894217543704087
1101	125-129	-0.3056351088571887
1101	130-134	-0.32235336173140183
1101	135-139	-0.13456854349936975
1101	140-144	-0.2225255525639298
1101	145-149	-0.2221772657804948
1101	150-151	-0.12901108582990872
1102	1	0.0713388947182878
1102	2	0.2401428378292607
1102	3	0.11082229574017077
1102	4	0.14922484214250886
1102	5	0.1784435095828414
1102	6	0.14752645282402455
1102	7	0.1081820285359143
1102	8	0.08994260422685585
1102	9	0.14937676411321377
1102	10-14	0.01768832896920003
1102	15-19	-0.032626642172914444
1102	20-24	-0.022611720602142782
1102	25-29	0.003754975531435889
1102	30-34	-0.029151452505942643
1102	35-39	-0.07085749793170493
1102	40-44	-0.17645326155643914
1102	45-49	-0.06087874359945289
1102	50-54	-0.09614643945469936
1102	55-59	-0.05621130896681592
1102	60-64	-0.35544536420767514
1102	65-69	-0.05785081105422307
1102	70-74	-0.08268007341417416
1102	75-79	-0.10966337041516283
1102	80-84	-0.07458819868234201
1102	85-89	-0.0759234440040899
1102	90-94	-0.1187342657060384
1102	95-99	-0.12152300514480174
1102	100-104	-0.12018722903372492
1102	105-109	-0.14813264239136004
1102	110-114	-0.09256560787104462
1102	115-119	-0.13989139632276704
1102	120-124	-0.14618813855668122
1102	125-129	-0.2899482565817877
1102	130-134	-0.2697920880054312
1102	135-139	-0.16598651021232058
1102	140-144	-0.2598653668277393
1102	145-149	-0.047227099547953344
1102	150-151	0.027965229993306195
1103	1	0.2821240248664978
1103	2	0.09150600524463215
1103	3	0.13102884887508992
1103	4	-0.09870754463032227
1103	5	0.2657073513724484
1103	6	0.15946602284682854
1103	7	-0.17699592576455103
1103	8	0.1053839700621566
1103	9	0.22032870665955073
1103	10-14	0.0910867094223704
1103	15-19	0.005767505128432049
1103	20-24	0.10710238358119994
1103	25-29	-0.012393611952930428
