##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Y7002_S238_L003_R2_001.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4632509
Total Bases	699.5 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	53
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	34.07076273354245	37.0	37.0	37.0	25.0	37.0
2	34.04390666051593	37.0	37.0	37.0	25.0	37.0
3	35.271791376983835	37.0	37.0	37.0	37.0	37.0
4	34.851138983216224	37.0	37.0	37.0	25.0	37.0
5	34.851607411879826	37.0	37.0	37.0	25.0	37.0
6	35.04819504937821	37.0	37.0	37.0	25.0	37.0
7	34.968757750929356	37.0	37.0	37.0	25.0	37.0
8	34.98254423250986	37.0	37.0	37.0	25.0	37.0
9	35.081259205324805	37.0	37.0	37.0	25.0	37.0
10-14	35.097571834183164	37.0	37.0	37.0	25.0	37.0
15-19	35.08502554447277	37.0	37.0	37.0	25.0	37.0
20-24	35.046390929839525	37.0	37.0	37.0	25.0	37.0
25-29	34.97525341019305	37.0	37.0	37.0	25.0	37.0
30-34	34.91665738803745	37.0	37.0	37.0	25.0	37.0
35-39	34.92788421997669	37.0	37.0	37.0	25.0	37.0
40-44	34.83937758134955	37.0	37.0	37.0	25.0	37.0
45-49	34.81766433697161	37.0	37.0	37.0	25.0	37.0
50-54	34.757476736688474	37.0	37.0	37.0	25.0	37.0
55-59	34.68723160602602	37.0	37.0	37.0	25.0	37.0
60-64	34.703970785593725	37.0	37.0	37.0	25.0	37.0
65-69	34.62986442120242	37.0	37.0	37.0	25.0	37.0
70-74	34.628205018058246	37.0	37.0	37.0	25.0	37.0
75-79	34.50674798473138	37.0	37.0	37.0	25.0	37.0
80-84	34.52720519269364	37.0	37.0	37.0	25.0	37.0
85-89	34.533670932965265	37.0	37.0	37.0	25.0	37.0
90-94	34.46331078903462	37.0	37.0	37.0	25.0	37.0
95-99	34.40350652313897	37.0	37.0	37.0	25.0	37.0
100-104	34.39556568589505	37.0	37.0	37.0	25.0	37.0
105-109	34.28883812206301	37.0	37.0	37.0	25.0	37.0
110-114	34.187033980937755	37.0	37.0	37.0	25.0	37.0
115-119	34.17422148559236	37.0	37.0	37.0	25.0	37.0
120-124	34.03353042595276	37.0	37.0	37.0	25.0	37.0
125-129	33.86220167084403	37.0	37.0	37.0	25.0	37.0
130-134	33.85259603381235	37.0	37.0	37.0	25.0	37.0
135-139	33.731647968735736	37.0	37.0	37.0	25.0	37.0
140-144	33.59391245651115	37.0	37.0	37.0	25.0	37.0
145-149	33.40026901188968	37.0	37.0	37.0	25.0	37.0
150-151	32.913305511117194	37.0	37.0	37.0	18.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.11714453656544066
1101	2	-0.49900304828518216
1101	3	-0.17304395068234868
1101	4	-0.3519782592927214
1101	5	0.16092215779578112
1101	6	0.03587119269588612
1101	7	-0.2250629893817191
1101	8	-0.18195632983397303
1101	9	4.528328419723948E-4
1101	10-14	-0.05662518021061658
1101	15-19	-0.05782480128932832
1101	20-24	-0.10875475083241781
1101	25-29	-0.13601920050125926
1101	30-34	-0.2160657130718988
1101	35-39	-0.11611688778177154
1101	40-44	-0.0949533791581274
1101	45-49	-0.0648275419908586
1101	50-54	0.014494973569448177
1101	55-59	-0.08478237357935114
1101	60-64	-0.09154638430872808
1101	65-69	0.014815268015865968
1101	70-74	-0.038903858401106106
1101	75-79	-0.021817586308685577
1101	80-84	-0.06849080138388786
1101	85-89	-0.1495813168861062
1101	90-94	-0.1855329494673441
1101	95-99	-0.11539314463066574
1101	100-104	0.14578846102909182
1101	105-109	0.0232790430802865
1101	110-114	-0.013459120461483565
1101	115-119	0.1247397401309911
1101	120-124	0.11688001361383016
1101	125-129	0.14752297459825314
1101	130-134	0.10207413021796441
1101	135-139	0.19185019494116773
1101	140-144	0.04734775114971512
1101	145-149	-0.08526711443884238
1101	150-151	0.20102555680126244
1102	1	-0.0844044158493702
1102	2	-0.5284752659050724
1102	3	-0.1679038778970181
1102	4	0.045833834285460284
1102	5	-0.04657054841852215
1102	6	-0.21091729858456887
1102	7	-0.1976332111969441
1102	8	0.13502101930533428
1102	9	0.010297374968878614
1102	10-14	-0.07796483625376283
1102	15-19	-0.11665471317773068
1102	20-24	0.022773978399008854
1102	25-29	0.011226869786653992
1102	30-34	-0.05021613781914169
1102	35-39	0.03624946093506054
1102	40-44	0.06785743540316957
1102	45-49	0.028249126647651224
1102	50-54	-0.0451800983216728
1102	55-59	0.05610361527415364
1102	60-64	0.026098494011208118
1102	65-69	0.060899177504929014
1102	70-74	0.06335657814739903
1102	75-79	0.1123521024466001
1102	80-84	0.0639681987977454
1102	85-89	0.1965447293806193
1102	90-94	0.01690182814819252
1102	95-99	0.11277873051574971
1102	100-104	0.2555893829978899
1102	105-109	0.18466871536286078
1102	110-114	0.19391588828627704
1102	115-119	0.18819832540473413
1102	120-124	0.19127353730235086
1102	125-129	0.332388275079488
1102	130-134	0.16532946046849872
1102	135-139	0.24660186329558087
1102	140-144	0.2641579049686982
1102	145-149	0.21079485736855474
1102	150-151	0.16305169500168404
1103	1	0.3163644262998986
1103	2	0.08312975982946114
1103	3	0.39870413842442076
1103	4	0.6652263870465731
1103	5	0.3071634267779899
1103	6	-0.15246593869017744
1103	7	0.06585588429085476
1103	8	0.051581902428551984
1103	9	0.09799802980094796
1103	10-14	0.011073278728005675
1103	15-19	0.009913893208775448
1103	20-24	-0.36294723696002507
1103	25-29	0.14007815535189394
1103	30-34	0.18210364786513367
1103	35-39	0.11337632956796995
