##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Wickerhamiella_trim_R1_paired.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	3528999
Total Bases	532.8 Mbp
Sequences flagged as poor quality	0
Sequence length	147-151
%GC	52
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.60778198010257	37.0	37.0	37.0	37.0	37.0
2	35.616675436859005	37.0	37.0	37.0	37.0	37.0
3	35.73538530331122	37.0	37.0	37.0	37.0	37.0
4	35.740181564233936	37.0	37.0	37.0	37.0	37.0
5	35.86025867391858	37.0	37.0	37.0	37.0	37.0
6	35.91729439424607	37.0	37.0	37.0	37.0	37.0
7	35.84803764466921	37.0	37.0	37.0	37.0	37.0
8	35.906093200933185	37.0	37.0	37.0	37.0	37.0
9	35.88258171793191	37.0	37.0	37.0	37.0	37.0
10-14	35.927440897546305	37.0	37.0	37.0	37.0	37.0
15-19	35.91540020272038	37.0	37.0	37.0	37.0	37.0
20-24	35.87920155262158	37.0	37.0	37.0	37.0	37.0
25-29	35.7749037616616	37.0	37.0	37.0	37.0	37.0
30-34	35.73248986468967	37.0	37.0	37.0	37.0	37.0
35-39	35.71779674632948	37.0	37.0	37.0	37.0	37.0
40-44	35.67903589658144	37.0	37.0	37.0	37.0	37.0
45-49	35.61286523458919	37.0	37.0	37.0	37.0	37.0
50-54	35.507625023413155	37.0	37.0	37.0	37.0	37.0
55-59	35.495727768695886	37.0	37.0	37.0	37.0	37.0
60-64	35.44375711072743	37.0	37.0	37.0	37.0	37.0
65-69	35.40441603978918	37.0	37.0	37.0	37.0	37.0
70-74	35.365193416036675	37.0	37.0	37.0	37.0	37.0
75-79	35.448685023713516	37.0	37.0	37.0	37.0	37.0
80-84	35.4401529725568	37.0	37.0	37.0	37.0	37.0
85-89	35.41027996890902	37.0	37.0	37.0	37.0	37.0
90-94	35.397681098804505	37.0	37.0	37.0	37.0	37.0
95-99	35.392369790980396	37.0	37.0	37.0	37.0	37.0
100-104	35.32752630420128	37.0	37.0	37.0	37.0	37.0
105-109	35.267225352004914	37.0	37.0	37.0	37.0	37.0
110-114	35.278680385004364	37.0	37.0	37.0	37.0	37.0
115-119	35.29927376006624	37.0	37.0	37.0	34.6	37.0
120-124	35.23959972785484	37.0	37.0	37.0	32.2	37.0
125-129	35.22958413986516	37.0	37.0	37.0	29.8	37.0
130-134	35.13347705680845	37.0	37.0	37.0	25.0	37.0
135-139	35.15108635621603	37.0	37.0	37.0	25.0	37.0
140-144	35.08228877367208	37.0	37.0	37.0	25.0	37.0
145-149	35.019026466569585	37.0	37.0	37.0	25.0	37.0
150-151	34.66255030899475	37.0	37.0	37.0	25.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.025392727206948962
1101	2	0.1773687337487786
1101	3	0.1443051004247664
1101	4	-0.034774245584181074
1101	5	-0.008495701249664478
1101	6	0.0831278176469965
1101	7	0.014716979888888204
1101	8	-0.017663183547341532
1101	9	-0.027336455779369828
1101	10-14	0.03257409102871378
1101	15-19	0.027496347565694634
1101	20-24	-0.06061952384547453
1101	25-29	-0.22896623908778224
1101	30-34	-0.24109598359197548
1101	35-39	-0.10280743135811576
1101	40-44	-0.22633057549434454
1101	45-49	-0.21274319522127882
1101	50-54	-0.26961714176752594
1101	55-59	-0.23500328698192874
1101	60-64	-0.22791823791617105
1101	65-69	-0.11096142098118378
1101	70-74	-0.11677575664521811
1101	75-79	-0.21914351929820697
1101	80-84	-0.19722940080605866
1101	85-89	-0.1449253691386332
1101	90-94	-0.063881977121234
1101	95-99	-0.23332552026446507
1101	100-104	-0.07415229152529434
1101	105-109	-0.21275413392104525
1101	110-114	-0.09279346531416621
1101	115-119	-0.11248292687874084
1101	120-124	-0.19968019292512196
1101	125-129	-0.31140117337573514
1101	130-134	-0.33835959279893757
1101	135-139	-0.15166965711821234
1101	140-144	-0.20571228137627173
1101	145-149	-0.26064604276562875
1101	150-151	-0.16054348473880253
1102	1	0.09578532066924339
1102	2	0.20488536158797643
1102	3	0.11009497342357122
1102	4	0.13686309278059383
1102	5	0.16981776518877467
1102	6	0.15106648740612627
1102	7	0.13833060568818212
1102	8	0.10703706218833275
1102	9	0.15518452169794728
1102	10-14	0.023762815887849342
1102	15-19	-0.031207384746529954
1102	20-24	-0.045857284609198246
1102	25-29	-0.021457095235255963
1102	30-34	-0.03854425997491262
1102	35-39	-0.07621000186722426
1102	40-44	-0.20264094260105736
1102	45-49	-0.05274418393145197
1102	50-54	-0.061017038639562315
1102	55-59	-0.04616093613125827
1102	60-64	-0.3527113400149062
1102	65-69	-0.07155115913091237
1102	70-74	-0.060003799211933995
1102	75-79	-0.10554909782067057
1102	80-84	-0.05057196210093906
1102	85-89	-0.08148945025955356
1102	90-94	-0.11295696323466586
1102	95-99	-0.11612282850104805
1102	100-104	-0.11330760347365043
1102	105-109	-0.12942152152221098
1102	110-114	-0.06317360377478565
1102	115-119	-0.13442737647272196
1102	120-124	-0.15344165149232225
1102	125-129	-0.2761948522220763
1102	130-134	-0.28027800635855016
1102	135-139	-0.17816821559252105
1102	140-144	-0.27853048298113947
1102	145-149	-0.07350984862689813
1102	150-151	0.010060103013664445
1103	1	0.13935929203183406
1103	2	-0.08963970703626245
1103	3	0.1697940272885603
1103	4	0.15016352736042649
1103	5	0.2428856358121081
1103	6	0.0705387060870919
1103	7	0.021622802131822993
1103	8	-0.12135537970496557
1103	9	0.1366184576551106
1103	10-14	0.08527212151221164
1103	15-19	-0.15844370387303996
1103	20-24	0.07259876279599098
1103	25-29	0.0016400647459562379
