#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135693_cov_34.345393	1	1135693	637488	1135693	100	84.047	35.1	59.9
NODE_2_length_848941_cov_34.707477	1	848941	480575	848941	100	84.7862	35.1	59.9
NODE_3_length_804149_cov_35.572006	1	804149	466674	804149	100	86.909	35.1	59.9
NODE_4_length_740313_cov_35.588518	1	740313	429993	740313	100	87.0061	35.1	59.9
NODE_5_length_640544_cov_35.711649	1	640544	374283	640544	100	87.4798	35.1	59.9
NODE_6_length_557872_cov_36.374530	1	557872	332940	557784	99.9842	89.3104	35.1	59.8
NODE_7_length_530878_cov_33.793516	1	530878	291611	530878	100	82.2739	35.1	59.9
NODE_8_length_522024_cov_34.378201	1	522024	293077	522024	100	84.0942	35.1	59.9
NODE_9_length_476298_cov_34.731746	1	476298	270832	476298	100	85.1521	35.1	59.9
NODE_10_length_449190_cov_35.467174	1	449190	260672	449190	100	86.8743	35.1	60
NODE_11_length_368608_cov_34.257512	1	368608	205958	368608	100	83.6804	35.1	60
NODE_12_length_362954_cov_36.374000	1	362954	215147	362954	100	88.807	35.1	60
NODE_13_length_337202_cov_35.682628	1	337202	196364	337202	100	87.1986	35.1	59.9
NODE_14_length_294507_cov_35.698461	1	294507	172277	294507	100	87.5609	35.1	59.9
NODE_15_length_287902_cov_34.952700	1	287902	164708	287902	100	85.6996	35.1	59.9
NODE_16_length_284128_cov_34.288674	1	284128	158437	284128	100	83.5588	35.1	59.9
NODE_17_length_243518_cov_35.854462	1	243518	142500	243518	100	87.6453	35.1	59.9
NODE_18_length_230432_cov_36.954110	1	230432	139144	230432	100	90.4733	35.1	59.9
NODE_19_length_228349_cov_36.627160	1	228349	134148	228349	100	87.8794	35.1	59.6
NODE_20_length_209959_cov_37.772344	1	209959	129398	209959	100	92.3451	35.1	59.8
NODE_21_length_188953_cov_37.114207	1	188953	113981	188953	100	90.3654	35.1	60
NODE_22_length_178321_cov_34.836471	1	178321	101617	178321	100	85.3314	35.1	59.9
NODE_23_length_167057_cov_34.435597	1	167057	94621	167057	100	84.5614	35.1	59.4
NODE_24_length_157916_cov_35.173132	1	157916	91045	157916	100	86.266	35.1	59.9
NODE_25_length_134160_cov_34.375424	1	134160	75622	134160	100	84.4199	35.1	59.9
NODE_26_length_118848_cov_34.222900	1	118848	66220	118848	100	83.4677	35.1	59.9
NODE_27_length_91049_cov_36.745669	1	91049	54769	91049	100	90.0897	35.1	59.9
NODE_28_length_88140_cov_35.405289	1	88140	50802	88140	100	86.2957	35.1	59.9
NODE_29_length_83093_cov_34.933748	1	83093	47364	83093	100	85.3858	35.1	60
NODE_30_length_78574_cov_38.432029	1	78574	50982	78574	100	96.7439	35.1	58.7
NODE_31_length_71014_cov_37.449328	1	71014	44784	71014	100	94.0894	35.1	59
NODE_32_length_59158_cov_35.333948	1	59158	33749	59107	99.9138	85.4811	35.1	59.8
NODE_33_length_46399_cov_38.727473	1	46399	29250	46399	100	94.3012	35.1	59.8
NODE_34_length_40180_cov_34.471262	1	40180	22800	40180	100	84.7689	35.1	59.8
NODE_35_length_34246_cov_38.256548	1	34246	23894	34246	100	96.5423	35.1	53.9
NODE_36_length_30612_cov_44.364696	1	30612	25559	30612	100	120.358	35.1	53.5
NODE_37_length_27745_cov_30.498663	1	27745	13785	27745	100	74.4422	35.1	59.8
NODE_38_length_26805_cov_463.564202	1	26805	197672	26805	100	1090.78	35.2	59.9
NODE_39_length_24506_cov_33.273241	1	24506	13330	24506	100	81.1555	35.1	59.6
NODE_40_length_22223_cov_34.879572	1	22223	13034	22223	100	86.3627	35.1	58.7
