#Query	Sbjct	Coverage	Percent_Identity
Ashbya.aceri.CP006258_cob_mfannot	NODE_38_length_26805_cov_463.564202	94.0	80.635
Ashbya.aceri.CP006258_cob_mfannot	NODE_38_length_26805_cov_463.564202	94.0	80.128
Ashbya.aceri.CP006258_cox1_mfannot	NODE_38_length_26805_cov_463.564202	78.0	77.608
Ashbya.aceri.CP006258_cox1_mfannot	NODE_38_length_26805_cov_463.564202	78.0	75.967
Ashbya.aceri.CP006258_cox3_mfannot	NODE_38_length_26805_cov_463.564202	76.0	71.339
Barnettozyma.californica.KC993183_atp9_genbank	NODE_38_length_26805_cov_463.564202	96.0	77.828
Barnettozyma.californica.KC993183_cob_genbank	NODE_38_length_26805_cov_463.564202	94.0	81.464
Barnettozyma.californica.KC993183_cob_genbank	NODE_38_length_26805_cov_463.564202	94.0	83.906
Barnettozyma.californica.KC993183_cox1_genbank	NODE_38_length_26805_cov_463.564202	80.0	76.117
Barnettozyma.californica.KC993183_cox1_genbank	NODE_38_length_26805_cov_463.564202	80.0	78.095
Barnettozyma.californica.KC993183_cox2_genbank	NODE_38_length_26805_cov_463.564202	88.0	78.963
Barnettozyma.californica.KC993183_cox3_genbank	NODE_38_length_26805_cov_463.564202	97.0	71.18
Brettanomyces.bruxellensis.GQ354526_cob_genbank	NODE_38_length_26805_cov_463.564202	96.0	79.878
Brettanomyces.bruxellensis.GQ354526_cob_genbank	NODE_38_length_26805_cov_463.564202	96.0	78.038
Brettanomyces.bruxellensis.GQ354526_cox2_genbank	NODE_38_length_26805_cov_463.564202	90.0	79.46
Brettanomyces.bruxellensis.GQ354526_cox3_genbank	NODE_38_length_26805_cov_463.564202	76.0	71.88
Brettanomyces.custersianus.GQ354525_atp9_genbank	NODE_38_length_26805_cov_463.564202	97.0	75.664
Brettanomyces.custersianus.GQ354525_cob_genbank	NODE_38_length_26805_cov_463.564202	88.0	81.371
Brettanomyces.custersianus.GQ354525_cob_genbank	NODE_38_length_26805_cov_463.564202	88.0	79.355
Brettanomyces.custersianus.GQ354525_cox1_genbank	NODE_38_length_26805_cov_463.564202	73.0	75.928
Brettanomyces.custersianus.GQ354525_cox1_genbank	NODE_38_length_26805_cov_463.564202	73.0	78.079
Brettanomyces.custersianus.GQ354525_nad4_genbank	NODE_38_length_26805_cov_463.564202	71.0	76.114
Candida.alai.HQ267968_atp6_genbank	NODE_38_length_26805_cov_463.564202	99.0	77.997
Candida.alai.HQ267968_cob_genbank	NODE_38_length_26805_cov_463.564202	97.0	81.86
Candida.alai.HQ267968_cob_genbank	NODE_38_length_26805_cov_463.564202	97.0	82.744
Candida.alai.HQ267968_cox1_genbank	NODE_38_length_26805_cov_463.564202	85.0	81.46
Candida.alai.HQ267968_cox1_genbank	NODE_38_length_26805_cov_463.564202	85.0	81.992
Candida.alai.HQ267968_cox2_genbank	NODE_38_length_26805_cov_463.564202	94.0	83.757
