#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135595_cov_48.047297	1	1135595	833275	1135595	100	104.82	35.2	59.8
NODE_2_length_848811_cov_48.580983	1	848811	629563	848811	100	105.951	35.2	59.8
NODE_3_length_740418_cov_49.713687	1	740418	560981	740418	100	108.369	35.2	59.8
NODE_4_length_681720_cov_50.188072	1	681720	522226	681720	100	109.444	35.2	59.8
NODE_5_length_557703_cov_50.968110	1	557703	440616	557630	99.9869	112.637	35.1	59.5
NODE_6_length_544070_cov_48.181695	1	544070	400925	544070	100	105.149	35.2	59.7
NODE_7_length_530747_cov_47.372574	1	530747	405152	530747	100	105.052	35.1	56.8
NODE_8_length_476297_cov_48.741279	1	476297	354283	476297	100	106.29	35.1	59.8
NODE_9_length_402432_cov_50.122499	1	402432	307942	402430	99.9995	109.348	35.1	59.8
NODE_10_length_368534_cov_47.766961	1	368534	270282	368534	100	104.507	35.2	59.8
NODE_11_length_362919_cov_50.895051	1	362919	282400	362919	100	111.088	35.2	59.8
NODE_12_length_353186_cov_49.931571	1	353186	269283	353186	100	108.916	35.2	59.8
NODE_13_length_337130_cov_49.910168	1	337130	256968	337130	100	108.877	35.1	59.8
NODE_14_length_294507_cov_50.012733	1	294507	225166	294507	100	109.25	35.1	59.8
NODE_15_length_287459_cov_48.994941	1	287459	214425	287454	99.9983	106.721	35.1	59.8
NODE_16_length_284143_cov_47.885104	1	284143	207270	284143	100	104.259	35.2	59.8
NODE_17_length_238291_cov_49.625946	1	238291	181556	238291	100	108.742	35.1	59.8
NODE_18_length_230432_cov_51.822895	1	230432	181828	230432	100	112.762	35.1	59.8
NODE_19_length_228207_cov_50.341976	1	228207	175538	228207	100	109.803	35.2	59.8
NODE_20_length_209845_cov_52.916594	1	209845	170674	209845	100	115.953	35.2	59.6
NODE_21_length_188953_cov_52.064434	1	188953	150154	188953	100	113.463	35.2	59.8
NODE_22_length_188868_cov_47.033142	1	188868	136585	188868	100	103.107	35.2	59.8
