#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135694_cov_40.711655	1	1135694	637536	1135694	100	84.0516	35.1	59.9
NODE_2_length_848616_cov_41.091892	1	848616	480542	848616	100	84.8085	35.1	59.9
NODE_3_length_740508_cov_42.191475	1	740508	430566	740508	100	87.0955	35.1	59.9
NODE_4_length_642962_cov_42.570146	1	642962	377197	642962	100	87.8457	35.1	59.9
NODE_5_length_640604_cov_42.359298	1	640604	374296	640604	100	87.4742	35.1	59.9
NODE_6_length_557703_cov_43.064916	1	557703	333885	557630	99.9869	89.5928	35.1	59.8
NODE_7_length_544070_cov_40.786922	1	544070	305823	544070	100	84.1788	35.1	59.9
NODE_8_length_530757_cov_39.900049	1	530757	291605	530757	100	82.2927	35.1	59.9
NODE_9_length_476298_cov_41.262578	1	476298	270847	476298	100	85.1555	35.1	59.9
NODE_10_length_449187_cov_42.079181	1	449187	260675	449187	100	86.8774	35.1	60
NODE_11_length_433264_cov_41.358739	1	433264	246261	433261	99.9993	85.1236	35.1	59.9
NODE_12_length_368608_cov_40.552854	1	368608	205997	368608	100	83.686	35.1	59.9
NODE_13_length_362955_cov_43.033527	1	362955	215155	362955	100	88.8082	35.1	60
NODE_14_length_337229_cov_42.364812	1	337229	196371	337229	100	87.1943	35.1	59.9
NODE_15_length_294507_cov_42.407873	1	294507	172287	294507	100	87.5673	35.1	59.9
NODE_16_length_287450_cov_41.582271	1	287450	164609	287445	99.9983	85.7731	35.1	59.9
NODE_17_length_284143_cov_40.545239	1	284143	158561	284143	100	83.6167	35.1	59.9
NODE_18_length_230432_cov_43.934948	1	230432	139144	230432	100	90.4733	35.1	59.9
NODE_19_length_228371_cov_43.506084	1	228371	135309	228371	100	88.593	35.1	59.3
NODE_20_length_209863_cov_44.662528	1	209863	130642	209863	100	93.2358	35.1	59.6
NODE_21_length_188953_cov_43.808366	1	188953	113988	188953	100	90.3684	35.1	60
NODE_22_length_178321_cov_41.349162	1	178321	101619	178321	100	85.3339	35.1	59.9
NODE_23_length_166506_cov_39.449195	1	166506	90459	166506	100	81.3778	35.1	59.9
NODE_24_length_157916_cov_41.746546	1	157916	91053	157916	100	86.2708	35.1	59.9
NODE_25_length_134160_cov_40.887846	1	134160	75625	134160	100	84.421	35.1	59.9
NODE_26_length_118845_cov_40.499638	1	118845	66241	118845	100	83.4824	35.1	59.9
NODE_27_length_91049_cov_43.674284	1	91049	54768	91049	100	90.0859	35.1	59.9
NODE_28_length_87725_cov_41.847629	1	87725	50538	87725	100	86.2503	35.1	60
NODE_29_length_83310_cov_41.079187	1	83310	46919	83310	100	84.3467	35.1	59.8
NODE_30_length_83094_cov_41.387812	1	83094	47362	83094	100	85.3848	35.1	60
NODE_31_length_78615_cov_47.066452	1	78615	67377	78615	100	127.298	35	56.1
NODE_32_length_71019_cov_44.349948	1	71019	44651	71019	100	93.8378	35.1	59.2
NODE_33_length_46399_cov_45.886274	1	46399	29249	46399	100	94.2996	35.1	59.8
NODE_34_length_40180_cov_41.072214	1	40180	22780	40180	100	84.7298	35.1	59.8
NODE_35_length_34254_cov_45.186295	1	34254	23788	34254	100	96.5158	35.1	53.8
NODE_36_length_30489_cov_48.465902	1	30489	20416	30489	100	100.027	35.1	59.5
NODE_37_length_26805_cov_522.434301	1	26805	197677	26805	100	1090.8	35.2	59.9
NODE_38_length_19354_cov_49.044509	1	19354	13051	19354	100	100.644	35.2	59.6
NODE_39_length_19276_cov_47.293922	1	19276	14617	19276	100	112.625	35	56.9
NODE_40_length_15682_cov_49.042486	1	15682	10588	15682	100	100.828	35.1	59.8
NODE_41_length_11544_cov_64.987878	1	11544	13049	11544	100	165.204	34.8	53.4
NODE_42_length_9834_cov_66.294763	1	9834	15815	9834	100	231.234	35.1	54.1
NODE_43_length_9009_cov_58.535602	1	9009	14245	9009	100	230.588	34.7	49.6
NODE_44_length_7946_cov_47.644173	1	7946	5186	7946	100	97.6154	35.1	59.6
NODE_45_length_6631_cov_75.706744	1	6631	6408	6631	100	142.51	34.7	43.3
NODE_46_length_5830_cov_50.469842	1	5830	4067	5830	100	103.858	35.1	58
NODE_47_length_4289_cov_59.323124	1	4289	4228	4289	100	142.269	35	51.3
NODE_48_length_3802_cov_53.340671	1	3802	2754	3802	100	108.088	35.1	59.6
NODE_49_length_3799_cov_836.691026	1	3799	43188	3799	100	1698.29	35.1	59.8
NODE_50_length_2247_cov_52.255300	1	2247	1567	2247	100	104.263	35.1	59.6
NODE_51_length_2139_cov_784.294859	1	2139	22600	2139	100	1572.67	35	59.7
NODE_52_length_1992_cov_65.391645	1	1992	2143	1992	100	160.512	35.3	56.6
NODE_53_length_1834_cov_47.914058	1	1834	1170	1834	100	94.7688	35	59.4
NODE_54_length_1754_cov_722.815742	1	1754	17112	1754	100	1438.48	34.9	59.6
NODE_55_length_1404_cov_706.650339	1	1404	12981	1404	100	1374.07	35.1	59.6
NODE_56_length_1250_cov_88.463768	1	1250	4125	1250	100	482.454	34.7	45.1
NODE_57_length_1245_cov_799.905822	1	1245	13024	1245	100	1550.21	35.1	59.4
NODE_58_length_1223_cov_269.010471	1	1223	4388	1223	100	526.527	34.8	35.2
NODE_59_length_1223_cov_69.092496	1	1223	1162	1223	100	141.823	35.1	58.1
NODE_60_length_1051_cov_81.445585	1	1051	1094	1051	100	154.652	35.2	59.7
NODE_61_length_1049_cov_46.293210	1	1049	685	1049	100	92.4824	34.9	55.3
NODE_62_length_1007_cov_98.755914	1	1007	1294	1007	100	189.486	35.1	55.5
NODE_63_length_917_cov_1.566667	1	917	18	917	100	2.96401	35.3	60
NODE_64_length_870_cov_47.364439	1	870	514	870	100	87.3586	35.2	58.7
NODE_65_length_840_cov_1.454784	1	840	15	840	100	2.69643	35.1	60
NODE_66_length_818_cov_55.242915	1	818	621	818	100	111.328	35.1	56
NODE_67_length_776_cov_1.703863	1	776	18	776	100	3.50258	34.1	60
NODE_68_length_751_cov_92.062315	1	751	874	751	100	170.955	35.2	58.7
NODE_69_length_702_cov_1.606400	1	702	14	702	100	3.0114	34.6	60
NODE_70_length_687_cov_71.534426	1	687	639	687	100	137.63	35.3	57.9
NODE_71_length_621_cov_1.029412	1	621	8	621	100	1.9211	34.9	60
NODE_72_length_620_cov_777.149171	1	620	5863	620	100	1394.52	35	59.2
NODE_73_length_585_cov_1.366142	1	585	10	585	100	2.5812	35.6	60
NODE_74_length_583_cov_71.428854	1	583	641	583	100	160.895	34.9	53.2
NODE_75_length_581_cov_2.015873	1	581	15	581	100	3.89845	34.4	60
NODE_76_length_546_cov_754.245203	1	546	5013	546	100	1341.93	35	58.8
NODE_77_length_541_cov_1.534483	1	541	10	541	100	2.79113	34.1	60
NODE_78_length_527_cov_1.315556	1	527	9	527	100	2.50474	35	60
NODE_79_length_524_cov_62.369128	1	524	954	524	100	268.223	34.6	49.9
NODE_80_length_523_cov_550.621076	1	523	3743	523	100	1059.55	35.2	54.5
NODE_81_length_512_cov_1.494253	1	512	10	512	100	2.94922	33.6	60
NODE_82_length_511_cov_300.605991	1	511	2615	511	100	741.297	34.7	35.6
NODE_83_length_508_cov_1.440835	1	508	10	508	100	2.77953	34.5	60
NODE_84_length_503_cov_1.570423	1	503	10	503	100	3.00199	34.6	60
