#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135595_cov_48.047297	1	1135595	832757	1135595	100	104.791	35.2	59.8
NODE_2_length_848811_cov_48.580983	1	848811	629535	848811	100	105.95	35.2	59.8
NODE_3_length_740418_cov_49.713687	1	740418	560568	740418	100	108.308	35.2	59.8
NODE_4_length_681720_cov_50.188072	1	681720	522125	681720	100	109.435	35.2	59.8
NODE_5_length_557703_cov_50.968110	1	557703	437960	557630	99.9869	112.092	35.1	59.6
NODE_6_length_544070_cov_48.181695	1	544070	400293	544070	100	105.093	35.2	59.8
NODE_7_length_530747_cov_47.372574	1	530747	394688	530747	100	104.146	35.2	58.7
NODE_8_length_476297_cov_48.741279	1	476297	354164	476297	100	106.275	35.1	59.8
NODE_9_length_402432_cov_50.122499	1	402432	307879	402430	99.9995	109.337	35.1	59.8
NODE_10_length_368534_cov_47.766961	1	368534	268304	368534	100	104.073	35.2	59.8
NODE_11_length_362919_cov_50.895051	1	362919	281977	362919	100	110.993	35.2	59.8
NODE_12_length_353186_cov_49.931571	1	353186	269271	353186	100	108.915	35.2	59.8
NODE_13_length_337130_cov_49.910168	1	337130	256823	337130	100	108.825	35.1	59.8
NODE_14_length_294507_cov_50.012733	1	294507	225096	294507	100	109.233	35.1	59.8
NODE_15_length_287459_cov_48.994941	1	287459	214422	287454	99.9983	106.721	35.1	59.8
NODE_16_length_284143_cov_47.885104	1	284143	207095	284143	100	104.211	35.2	59.8
NODE_17_length_238291_cov_49.625946	1	238291	180994	238291	100	108.438	35.1	59.8
NODE_18_length_230432_cov_51.822895	1	230432	181751	230432	100	112.736	35.1	59.8
NODE_19_length_228207_cov_50.341976	1	228207	175502	228207	100	109.795	35.2	59.8
NODE_20_length_209845_cov_52.916594	1	209845	170648	209845	100	116.029	35.2	59.7
NODE_21_length_188953_cov_52.064434	1	188953	150152	188953	100	113.462	35.2	59.8
NODE_22_length_188868_cov_47.033142	1	188868	135966	188868	100	102.738	35.2	59.8
NODE_23_length_185042_cov_50.027475	1	185042	141181	185042	100	109.033	35.2	59.8
NODE_24_length_178648_cov_48.655902	1	178648	132729	178648	100	106.047	35.1	59.8
NODE_25_length_166960_cov_47.811305	1	166960	122444	166960	100	104.549	35.2	59.5
NODE_26_length_158077_cov_49.607259	1	158077	119931	158077	100	108.452	35.1	59.7
NODE_27_length_134160_cov_48.148856	1	134160	98608	134160	100	105.062	35.1	59.8
NODE_28_length_118777_cov_47.868854	1	118777	86412	118777	100	104.055	35.2	59.8
NODE_29_length_96039_cov_49.058106	1	96039	72394	96039	100	107.446	35.1	59.8
NODE_30_length_91049_cov_51.419426	1	91049	71369	91049	100	112.07	35.1	59.8
NODE_31_length_88140_cov_49.864302	1	88140	66921	88140	100	108.422	35.2	59.8
NODE_32_length_83093_cov_49.093235	1	83093	62261	83093	100	107.031	35.1	59.8
NODE_33_length_78615_cov_55.882426	1	78615	87061	78615	100	156.725	35.1	56
NODE_34_length_71029_cov_51.322401	1	71029	55869	71029	100	112.111	35.2	59.6
NODE_35_length_58970_cov_49.713260	1	58970	44468	58970	100	107.657	35.2	59.6
NODE_36_length_58614_cov_50.868135	1	58614	45428	58614	100	110.686	35.1	59.8
NODE_37_length_46411_cov_54.174515	1	46411	38291	46411	100	117.627	35.1	59.6
NODE_38_length_34234_cov_53.188775	1	34234	28067	34234	100	115.716	35.2	58.6
NODE_39_length_30133_cov_57.752262	1	30133	26830	30133	100	126.339	35.1	59.6
NODE_40_length_26805_cov_646.080889	1	26805	276822	26805	100	1441.23	35.3	59.9
NODE_41_length_24556_cov_46.265044	1	24556	62670	24556	100	236.347	33.8	36.1
NODE_42_length_19276_cov_56.376061	1	19276	18909	19276	100	138.904	35.1	56.9
NODE_43_length_19258_cov_56.591940	1	19258	16451	19258	100	121.283	35.2	59.6
NODE_44_length_15737_cov_86.537420	1	15737	13919	15737	100	126.124	35.1	59.4
NODE_45_length_11376_cov_69.706169	1	11376	13601	11376	100	166.323	35	57.3
NODE_46_length_9834_cov_79.371938	1	9834	18852	9834	100	264.538	35.2	52.7
NODE_47_length_8369_cov_39.869875	1	8369	12870	8369	100	220.087	34.7	45.3
NODE_48_length_7946_cov_56.670479	1	7946	6788	7946	100	122.214	35.2	59.6
NODE_49_length_6327_cov_46.909440	1	6327	4472	6327	100	100.737	35.2	59.6
NODE_50_length_5629_cov_57.533682	1	5629	5105	5629	100	128.299	35.2	58.3
NODE_51_length_4289_cov_70.729820	1	4289	5708	4289	100	182.833	35.1	50.6
NODE_52_length_3802_cov_63.114362	1	3802	3653	3802	100	136.074	35.2	59.5
NODE_53_length_3799_cov_998.995164	1	3799	57566	3799	100	2149.64	35.1	59.7
NODE_54_length_3284_cov_143.010290	1	3284	7554	3284	100	326.464	34.9	42.3
NODE_55_length_2250_cov_931.543948	1	2250	31716	2250	100	1991.84	35.1	59.5
NODE_56_length_1834_cov_57.914058	1	1834	1579	1834	100	121.644	35.1	59.5
NODE_57_length_1754_cov_861.311866	1	1754	22949	1754	100	1834.47	35	59.5
NODE_58_length_1404_cov_865.736247	1	1404	17845	1404	100	1789.7	35.2	59.5
NODE_59_length_1332_cov_55.405578	1	1332	1095	1332	100	117.026	35.1	57.7
NODE_60_length_1245_cov_953.547089	1	1245	17262	1245	100	1957.17	35.2	59.3
NODE_61_length_1223_cov_84.094241	1	1223	1631	1223	100	184.314	35.2	57.2
NODE_62_length_1209_cov_87.631625	1	1209	7743	1209	100	893.794	34.7	45.5
NODE_63_length_1086_cov_56.184341	1	1086	921	1086	100	117.806	34.9	55.7
NODE_64_length_1051_cov_97.901437	1	1051	1483	1051	100	198.4	35.3	59.2
NODE_65_length_1028_cov_274.522608	1	1028	1821	1028	100	243.986	35.2	50.9
NODE_66_length_994_cov_61.653217	1	994	1213	994	100	175.262	35.4	53.1
NODE_67_length_926_cov_72.566549	1	926	1140	926	100	175.683	35.3	55
NODE_68_length_924_cov_1.386068	1	924	17	924	100	2.76732	35	60
NODE_69_length_917_cov_1.735714	1	917	20	917	100	3.2879	35.4	60
NODE_70_length_878_cov_1.364544	1	878	19	878	100	3.11162	34.7	60
NODE_71_length_876_cov_1.713392	1	876	22	876	100	3.70091	34.6	60
NODE_72_length_870_cov_56.991173	1	870	687	870	100	110.572	35.2	58.3
NODE_73_length_824_cov_67.832664	1	824	841	824	100	142.773	35.2	56.1
NODE_74_length_771_cov_1.704611	1	771	21	771	100	3.71077	34.6	60
NODE_75_length_751_cov_113.724036	1	751	1184	751	100	222.043	35.2	59
NODE_76_length_702_cov_1.776000	1	702	16	702	100	3.38319	34.8	60
NODE_77_length_688_cov_115.427169	1	688	2589	688	100	530.536	34.6	46.9
NODE_78_length_687_cov_87.708197	1	687	868	687	100	177.221	35.4	57.2
NODE_79_length_621_cov_1.055147	1	621	14	621	100	2.46538	35.1	55.7
NODE_80_length_620_cov_933.957643	1	620	7889	620	100	1780.59	35.1	59.2
NODE_81_length_599_cov_2.164751	1	599	17	599	100	4.22871	34.6	60
NODE_82_length_585_cov_1.669291	1	585	12	585	100	3.08889	35.6	60
