#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135593_cov_40.957521	1	1135593	825014	1135593	100	103.829	35.2	60
NODE_2_length_804112_cov_42.490005	1	804112	605588	804112	100	107.604	35.2	60
NODE_3_length_740418_cov_42.395271	1	740418	557592	740418	100	107.672	35.2	59.9
NODE_4_length_564992_cov_40.800517	1	564992	408487	564992	100	103.191	35.2	60
NODE_5_length_557717_cov_43.498865	1	557717	436822	557629	99.9842	111.59	35.2	59.7
NODE_6_length_544069_cov_41.067861	1	544069	397750	544069	100	104.252	35.2	59.9
NODE_7_length_521296_cov_41.255292	1	521296	381322	521296	100	104.431	35.2	60
NODE_8_length_476297_cov_41.468806	1	476297	350806	476297	100	105.282	35.2	60
NODE_9_length_402447_cov_42.711383	1	402447	304810	402447	100	108.278	35.2	60
NODE_10_length_368534_cov_40.780262	1	368534	265782	368534	100	103.124	35.2	60
NODE_11_length_362918_cov_43.458432	1	362918	279694	362918	100	110.088	35.2	60
NODE_12_length_353187_cov_42.588193	1	353187	266741	353187	100	107.935	35.2	60
NODE_13_length_337130_cov_42.541790	1	337130	254508	337130	100	107.872	35.2	60
NODE_14_length_327417_cov_41.745604	1	327417	242153	327417	100	105.811	35.2	60
NODE_15_length_294507_cov_42.578803	1	294507	222714	294507	100	108.087	35.2	59.9
NODE_16_length_287935_cov_41.650269	1	287935	212456	287935	100	105.604	35.2	60
NODE_17_length_284128_cov_40.897004	1	284128	205382	284128	100	103.342	35.2	60
NODE_18_length_238291_cov_42.234004	1	238291	179516	238291	100	107.596	35.2	59.9
NODE_19_length_230432_cov_44.075266	1	230432	180138	230432	100	111.734	35.2	60
NODE_20_length_228207_cov_42.943563	1	228207	173968	228207	100	108.849	35.2	60
NODE_21_length_209890_cov_45.195498	1	209890	169488	209890	100	115.037	35.2	59.8
NODE_22_length_188953_cov_44.523296	1	188953	148918	188953	100	112.553	35.2	60
NODE_23_length_185034_cov_42.668366	1	185034	139793	185034	100	107.995	35.2	60
NODE_24_length_178636_cov_41.453973	1	178636	130915	178636	100	104.904	35.2	60
NODE_25_length_166927_cov_40.697782	1	166927	122624	166927	100	104.012	35.2	59.7
NODE_26_length_158077_cov_42.272918	1	158077	118816	158077	100	107.436	35.2	59.9
NODE_27_length_134160_cov_40.933280	1	134160	97644	134160	100	104.043	35.2	59.9
NODE_28_length_118776_cov_40.886267	1	118776	85732	118776	100	103.224	35.2	60
NODE_29_length_96039_cov_41.607418	1	96039	71335	96039	100	106.029	35.2	60
NODE_30_length_91049_cov_43.784131	1	91049	70681	91049	100	110.995	35.2	60
NODE_31_length_88140_cov_42.573794	1	88140	66362	88140	100	107.502	35.2	59.9
NODE_32_length_83093_cov_41.848198	1	83093	67446	83093	100	108.39	35.2	59.9
NODE_33_length_78574_cov_46.055709	1	78574	97591	78574	100	169.874	35.2	57.4
NODE_34_length_70927_cov_44.124488	1	70927	68444	70927	100	126.119	35.2	58.7
NODE_35_length_58969_cov_42.526438	1	58969	44201	58933	99.939	106.94	35.2	59.7
NODE_36_length_58614_cov_43.319866	1	58614	45111	58614	100	109.842	35.2	59.9
NODE_37_length_46441_cov_51.390583	1	46441	43300	46441	100	130.046	35.1	55.9
NODE_38_length_38834_cov_40.637975	1	38834	27926	38751	99.7863	103.005	35.2	60
NODE_39_length_30133_cov_49.349947	1	30133	30669	30133	100	136.794	35.2	56.7
NODE_40_length_27745_cov_36.529709	1	27745	18726	27745	100	95.5544	35.2	59.9
NODE_41_length_26805_cov_578.404482	1	26805	276118	26805	100	1436.56	35.3	60
NODE_42_length_24533_cov_39.532303	1	24533	17639	24533	100	100.786	35.1	58.5
NODE_43_length_19522_cov_53.641039	1	19522	23871	19522	100	158.236	35.2	57.1
NODE_44_length_18442_cov_47.493057	1	18442	15853	18442	100	121.521	35.2	59.7
NODE_45_length_15682_cov_49.732073	1	15682	13999	15682	100	126.434	35.2	59.2
NODE_46_length_11376_cov_60.277635	1	11376	19126	11376	100	214.333	35.1	54
NODE_47_length_9834_cov_69.866557	1	9834	26213	9834	100	346.435	35.3	58.1
NODE_48_length_8443_cov_39.976811	1	8443	13422	8443	100	198.281	34.9	50.9
NODE_49_length_7946_cov_48.185030	1	7946	7029	7946	100	125.676	35.2	59
NODE_50_length_6342_cov_41.718436	1	6342	11641	6342	100	197.356	35.1	57.9
NODE_51_length_5830_cov_51.535894	1	5830	6691	5830	100	148.505	35.3	57.2
NODE_52_length_4289_cov_62.451330	1	4289	8349	4289	100	246.796	35.2	51.3
NODE_53_length_3802_cov_53.901477	1	3802	4608	3802	100	166.21	35.3	57.4
NODE_54_length_3799_cov_887.510478	1	3799	59092	3799	100	2168.27	35.2	60
NODE_55_length_2370_cov_66.754470	1	2370	7431	2370	100	402.438	35.1	53.2
NODE_56_length_2139_cov_831.848206	1	2139	32085	2139	100	2050.85	35.1	59.9
NODE_57_length_1834_cov_49.412066	1	1834	1559	1834	100	120.099	35.1	59.4
NODE_58_length_1754_cov_754.980322	1	1754	24730	1754	100	1892.84	35.1	60
NODE_59_length_1496_cov_128.884426	1	1496	5758	1496	100	482.503	34.9	29.9
NODE_60_length_1422_cov_47.891450	1	1422	1151	1422	100	113.262	35.2	58.4
NODE_61_length_1279_cov_178.979201	1	1279	6002	1279	100	630.887	35.1	48.5
NODE_62_length_1245_cov_844.963185	1	1245	19347	1245	100	2063.83	35.2	59.9
NODE_63_length_1223_cov_73.886562	1	1223	1987	1223	100	204.506	35.2	53.2
NODE_64_length_1084_cov_710.592850	1	1084	14462	1084	100	1878.45	35.3	59.5
NODE_65_length_1051_cov_84.895277	1	1051	1570	1051	100	203.503	35.3	59.6
NODE_66_length_994_cov_54.707743	1	994	1648	994	100	214.791	35.4	60
NODE_67_length_963_cov_69.707675	1	963	7430	963	100	1007.94	35.2	44.6
NODE_68_length_926_cov_62.621908	1	926	1483	926	100	204.482	35.3	60
NODE_69_length_924_cov_1.220779	1	924	16	924	100	2.6039	35.3	60
NODE_70_length_917_cov_1.610714	1	917	20	917	100	3.2868	35.4	60
NODE_71_length_878_cov_1.364544	1	878	19	878	100	3.11048	34.7	60
NODE_72_length_876_cov_1.382979	1	876	22	876	100	3.69292	34.6	60
NODE_73_length_870_cov_48.525851	1	870	760	870	100	120.139	35.2	57.3
NODE_74_length_860_cov_74.605364	1	860	2263	860	100	290.993	35.2	45.4
NODE_75_length_843_cov_712.426893	1	843	10872	843	100	1706.58	35.1	59.7
NODE_76_length_771_cov_1.505764	1	771	21	771	100	3.71077	34.6	60
NODE_77_length_751_cov_99.298220	1	751	1791	751	100	282.619	35.3	55.7
NODE_78_length_749_cov_88.419643	1	749	1391	749	100	241.993	35.3	57.9
NODE_79_length_732_cov_72.203053	1	732	6976	732	100	1197.87	35	47
NODE_80_length_725_cov_91.828704	1	725	8491	725	100	1492.63	35	46.2
NODE_81_length_702_cov_1.508800	1	702	16	702	100	3.38177	34.8	60
NODE_82_length_687_cov_77.098361	1	687	1018	687	100	193.999	35.4	59.5
NODE_83_length_635_cov_105.225806	1	635	2434	635	100	484.145	35.2	57
NODE_84_length_621_cov_0.770221	1	621	14	621	100	2.46538	35.1	57.1
NODE_85_length_620_cov_824.349908	1	620	9038	620	100	1902.41	35.1	59.8
NODE_86_length_599_cov_1.835249	1	599	17	599	100	4.22871	34.6	60
NODE_87_length_585_cov_1.513780	1	585	12	585	100	3.08718	35.6	60
NODE_88_length_582_cov_2.443564	1	582	18	582	100	4.50172	35.4	60
NODE_89_length_548_cov_1.237792	1	548	8	548	100	2.18978	36.1	60
NODE_90_length_546_cov_776.660981	1	546	8131	546	100	1863.85	35.2	59.5
NODE_91_length_543_cov_1.491416	1	543	16	543	100	3.96317	35.5	60
NODE_92_length_527_cov_1.500000	1	527	11	527	100	3.03795	36.1	60
NODE_93_length_522_cov_66.853933	1	522	2196	522	100	567.239	35	33
NODE_94_length_512_cov_265.158621	1	512	12124	512	100	2592.13	34.9	46.8
NODE_95_length_512_cov_1.234483	1	512	10	512	100	2.94922	33.6	60
NODE_96_length_508_cov_1.468677	1	508	14	508	100	3.83071	34.5	60
NODE_97_length_503_cov_1.396714	1	503	10	503	100	2.99801	34.6	60
