#Query	Sbjct	Coverage	Percent_Identity
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	88.115
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	87.246
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	87.068
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	86.123
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	86.686
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	89.815
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	89.286
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	88.786
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	83.829
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	85.509
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	85.375
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	84.105
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	86.083
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	88.946
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	80.84
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	81.098
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	85.196
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	83.106
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	93.088
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	82.222
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	89.1
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	92.391
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	93.373
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	75.381
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	89.865
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	86.592
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	86.842
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	77.926
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	76.347
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	94.681
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	100.0
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	82.353
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	93.976
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	94.366
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	100.0
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	94.444
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	89.655
NODE_38_length_26805_cov_463.564202	KC993186.1	68.0	86.885
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	86.644
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	85.987
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	85.469
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	88.345
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	86.971
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	82.586
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	84.083
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	84.394
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	87.464
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	87.5
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	84.966
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	80.719
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	86.327
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	81.757
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	87.901
