#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135595_cov_48.047297	1	1135595	824598	1135595	100	103.802	35.2	60
NODE_2_length_848811_cov_48.580983	1	848811	623546	848811	100	104.979	35.2	60
NODE_3_length_740418_cov_49.713687	1	740418	555151	740418	100	107.291	35.2	60
NODE_4_length_681720_cov_50.188072	1	681720	516966	681720	100	108.388	35.2	60
NODE_5_length_557703_cov_50.968110	1	557703	433675	557630	99.9869	111.012	35.2	59.8
NODE_6_length_544070_cov_48.181695	1	544070	396554	544070	100	104.133	35.2	60
NODE_7_length_530747_cov_47.372574	1	530747	381199	530747	100	102.479	35.2	60
NODE_8_length_476297_cov_48.741279	1	476297	350689	476297	100	105.267	35.2	60
NODE_9_length_402432_cov_50.122499	1	402432	304744	402430	99.9995	108.271	35.2	60
NODE_10_length_368534_cov_47.766961	1	368534	265747	368534	100	103.115	35.2	60
NODE_11_length_362919_cov_50.895051	1	362919	279391	362919	100	110.012	35.2	60
NODE_12_length_353186_cov_49.931571	1	353186	266734	353186	100	107.935	35.2	60
NODE_13_length_337130_cov_49.910168	1	337130	254377	337130	100	107.826	35.2	60
NODE_14_length_294507_cov_50.012733	1	294507	222645	294507	100	108.07	35.2	59.9
NODE_15_length_287459_cov_48.994941	1	287459	212314	287454	99.9983	105.697	35.2	60
NODE_16_length_284143_cov_47.885104	1	284143	205229	284143	100	103.298	35.2	60
NODE_17_length_238291_cov_49.625946	1	238291	178948	238291	100	107.294	35.2	60
NODE_18_length_230432_cov_51.822895	1	230432	180063	230432	100	111.709	35.2	60
NODE_19_length_228207_cov_50.341976	1	228207	173936	228207	100	108.84	35.2	60
NODE_20_length_209845_cov_52.916594	1	209845	169097	209845	100	114.991	35.2	59.8
NODE_21_length_188953_cov_52.064434	1	188953	148917	188953	100	112.553	35.2	60
NODE_22_length_188868_cov_47.033142	1	188868	134684	188868	100	101.824	35.2	59.9
NODE_23_length_185042_cov_50.027475	1	185042	139797	185042	100	107.996	35.2	60
NODE_24_length_178648_cov_48.655902	1	178648	130874	178648	100	104.875	35.2	60
NODE_25_length_166960_cov_47.811305	1	166960	121318	166960	100	103.598	35.2	59.6
NODE_26_length_158077_cov_49.607259	1	158077	118643	158077	100	107.325	35.2	59.8
NODE_27_length_134160_cov_48.148856	1	134160	97573	134160	100	104.008	35.2	60
NODE_28_length_118777_cov_47.868854	1	118777	85679	118777	100	103.19	35.2	60
NODE_29_length_96039_cov_49.058106	1	96039	71335	96039	100	106.029	35.2	60
NODE_30_length_91049_cov_51.419426	1	91049	70624	91049	100	110.943	35.2	60
NODE_31_length_88140_cov_49.864302	1	88140	66288	88140	100	107.437	35.2	59.9
NODE_32_length_83093_cov_49.093235	1	83093	61709	83093	100	106.108	35.2	60
NODE_33_length_78615_cov_55.882426	1	78615	84654	78615	100	153.178	35.2	56.6
NODE_34_length_71029_cov_51.322401	1	71029	55337	71029	100	111.052	35.2	59.7
NODE_35_length_58970_cov_49.713260	1	58970	44080	58970	100	106.729	35.2	59.8
NODE_36_length_58614_cov_50.868135	1	58614	45062	58614	100	109.783	35.2	60
NODE_37_length_46411_cov_54.174515	1	46411	37874	46411	100	116.446	35.2	59.7
NODE_38_length_34234_cov_53.188775	1	34234	27244	34234	100	114.151	35.2	59.9
NODE_39_length_30133_cov_57.752262	1	30133	26606	30133	100	125.131	35.2	59.7
NODE_40_length_26805_cov_646.080889	1	26805	276016	26805	100	1436.38	35.3	59.9
NODE_41_length_24556_cov_46.265044	1	24556	17287	24556	100	100.057	35.2	59.4
NODE_42_length_19276_cov_56.376061	1	19276	18704	19276	100	137.2	35.2	57.1
NODE_43_length_19258_cov_56.591940	1	19258	16370	19258	100	120.549	35.3	59.6
NODE_44_length_15737_cov_86.537420	1	15737	13801	15737	100	125.152	35.2	59.6
NODE_45_length_11376_cov_69.706169	1	11376	13401	11376	100	162.618	35.1	57.4
NODE_46_length_9834_cov_79.371938	1	9834	18474	9834	100	258.327	35.3	52.8
NODE_47_length_8369_cov_39.869875	1	8369	12387	8369	100	208.842	34.9	45
NODE_48_length_7946_cov_56.670479	1	7946	6751	7946	100	121.376	35.2	59.6
NODE_49_length_6327_cov_46.909440	1	6327	4443	6327	100	100.093	35.2	59.7
NODE_50_length_5629_cov_57.533682	1	5629	5075	5629	100	126.888	35.2	58.2
NODE_51_length_4289_cov_70.729820	1	4289	5709	4289	100	181.41	35.2	50.4
NODE_52_length_3802_cov_63.114362	1	3802	3600	3802	100	134.307	35.3	59.7
NODE_53_length_3799_cov_998.995164	1	3799	57169	3799	100	2134.02	35.2	59.8
NODE_54_length_3284_cov_143.010290	1	3284	7433	3284	100	315.914	35.1	41.9
NODE_55_length_2250_cov_931.543948	1	2250	31409	2250	100	1973.76	35.1	59.7
NODE_56_length_1834_cov_57.914058	1	1834	1557	1834	100	120.112	35.1	59.8
NODE_57_length_1754_cov_861.311866	1	1754	22471	1754	100	1802.6	35.1	59.7
NODE_58_length_1404_cov_865.736247	1	1404	17757	1404	100	1781.19	35.2	59.6
NODE_59_length_1332_cov_55.405578	1	1332	1088	1332	100	114.356	35.2	57.8
NODE_60_length_1245_cov_953.547089	1	1245	17138	1245	100	1944.12	35.2	59.5
