#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135595_cov_48.047297	1	1135595	825032	1135595	100	103.829	35.2	60
NODE_2_length_848811_cov_48.580983	1	848811	623557	848811	100	104.98	35.2	60
NODE_3_length_740418_cov_49.713687	1	740418	555558	740418	100	107.351	35.2	60
NODE_4_length_681720_cov_50.188072	1	681720	517060	681720	100	108.396	35.2	60
NODE_5_length_557703_cov_50.968110	1	557703	436312	557630	99.9869	111.54	35.2	59.7
NODE_6_length_544070_cov_48.181695	1	544070	397198	544070	100	104.191	35.2	59.9
NODE_7_length_530747_cov_47.372574	1	530747	381318	530747	100	102.487	35.2	60
NODE_8_length_476297_cov_48.741279	1	476297	350808	476297	100	105.283	35.2	60
NODE_9_length_402432_cov_50.122499	1	402432	304817	402430	99.9995	108.283	35.2	60
NODE_10_length_368534_cov_47.766961	1	368534	267685	368534	100	103.535	35.2	60
NODE_11_length_362919_cov_50.895051	1	362919	279753	362919	100	110.098	35.2	59.9
NODE_12_length_353186_cov_49.931571	1	353186	266736	353186	100	107.935	35.2	60
NODE_13_length_337130_cov_49.910168	1	337130	254508	337130	100	107.872	35.2	60
NODE_14_length_294507_cov_50.012733	1	294507	222713	294507	100	108.087	35.2	59.9
NODE_15_length_287459_cov_48.994941	1	287459	212314	287454	99.9983	105.697	35.2	60
NODE_16_length_284143_cov_47.885104	1	284143	205398	284143	100	103.345	35.2	60
NODE_17_length_238291_cov_49.625946	1	238291	179509	238291	100	107.594	35.2	59.9
NODE_18_length_230432_cov_51.822895	1	230432	180138	230432	100	111.735	35.2	60
NODE_19_length_228207_cov_50.341976	1	228207	173962	228207	100	108.847	35.2	60
NODE_20_length_209845_cov_52.916594	1	209845	169212	209845	100	114.958	35.2	59.8
NODE_21_length_188953_cov_52.064434	1	188953	148918	188953	100	112.553	35.2	60
NODE_22_length_188868_cov_47.033142	1	188868	135300	188868	100	102.188	35.2	60
NODE_23_length_185042_cov_50.027475	1	185042	139952	185042	100	108.022	35.2	59.9
NODE_24_length_178648_cov_48.655902	1	178648	130929	178648	100	104.9	35.2	60
NODE_25_length_166960_cov_47.811305	1	166960	135667	166960	100	110.219	35.2	58.4
NODE_26_length_158077_cov_49.607259	1	158077	118829	158077	100	107.44	35.2	59.9
NODE_27_length_134160_cov_48.148856	1	134160	97642	134160	100	104.042	35.2	59.9
NODE_28_length_118777_cov_47.868854	1	118777	85733	118777	100	103.223	35.2	60
NODE_29_length_96039_cov_49.058106	1	96039	71335	96039	100	106.029	35.2	60
NODE_30_length_91049_cov_51.419426	1	91049	70680	91049	100	110.994	35.2	59.9
NODE_31_length_88140_cov_49.864302	1	88140	66288	88140	100	107.437	35.2	59.9
NODE_32_length_83093_cov_49.093235	1	83093	62674	83093	100	106.802	35.2	60
NODE_33_length_78615_cov_55.882426	1	78615	99730	78615	100	177.65	35.2	57.3
NODE_34_length_71029_cov_51.322401	1	71029	64319	71029	100	119.488	35.2	59.6
NODE_35_length_58970_cov_49.713260	1	58970	44203	58970	100	106.942	35.2	59.7
NODE_36_length_58614_cov_50.868135	1	58614	45114	58614	100	109.841	35.2	59.9
NODE_37_length_46411_cov_54.174515	1	46411	38092	46411	100	116.778	35.2	59.5
NODE_38_length_34234_cov_53.188775	1	34234	27309	34234	100	114.288	35.2	59.9
NODE_39_length_30133_cov_57.752262	1	30133	27457	30133	100	127.158	35.2	59
NODE_40_length_26805_cov_646.080889	1	26805	276120	26805	100	1436.56	35.3	60
NODE_41_length_24556_cov_46.265044	1	24556	17539	24556	100	100.607	35.1	58.7
NODE_42_length_19276_cov_56.376061	1	19276	22757	19276	100	161.988	35.2	56.4
NODE_43_length_19258_cov_56.591940	1	19258	21966	19258	100	146.709	35.3	58.3
NODE_44_length_15737_cov_86.537420	1	15737	19292	15737	100	164.676	34.9	50
NODE_45_length_11376_cov_69.706169	1	11376	20621	11376	100	223.399	35.1	52.9
NODE_46_length_9834_cov_79.371938	1	9834	26222	9834	100	348.47	35.3	58.2
NODE_47_length_8369_cov_39.869875	1	8369	17902	8369	100	285.245	34.9	48
NODE_48_length_7946_cov_56.670479	1	7946	7020	7946	100	125.572	35.2	59
NODE_49_length_6327_cov_46.909440	1	6327	4524	6327	100	100.741	35.2	58.8
NODE_50_length_5629_cov_57.533682	1	5629	6768	5629	100	153.593	35.3	57
NODE_51_length_4289_cov_70.729820	1	4289	9265	4289	100	256.337	35.2	47.4
NODE_52_length_3802_cov_63.114362	1	3802	4365	3802	100	159.137	35.3	58.2
NODE_53_length_3799_cov_998.995164	1	3799	59092	3799	100	2168.27	35.2	60
NODE_54_length_3284_cov_143.010290	1	3284	8965	3284	100	371.96	35.1	42.3
NODE_55_length_2250_cov_931.543948	1	2250	33473	2250	100	2037.41	35.1	60
NODE_56_length_1834_cov_57.914058	1	1834	1557	1834	100	120.002	35.1	59.5
NODE_57_length_1754_cov_861.311866	1	1754	24633	1754	100	1891.4	35.1	60
NODE_58_length_1404_cov_865.736247	1	1404	18933	1404	100	1840.14	35.2	59.8
NODE_59_length_1332_cov_55.405578	1	1332	1088	1332	100	114.356	35.2	57.9
NODE_60_length_1245_cov_953.547089	1	1245	19394	1245	100	2064.83	35.2	59.9
