#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135593_cov_40.957521	1	1135593	833283	1135593	100	104.82	35.2	59.9
NODE_2_length_804112_cov_42.490005	1	804112	611572	804112	100	108.621	35.2	59.9
NODE_3_length_740418_cov_42.395271	1	740418	563063	740418	100	108.7	35.2	59.9
NODE_4_length_564992_cov_40.800517	1	564992	412086	564992	100	104.068	35.2	59.9
NODE_5_length_557717_cov_43.498865	1	557717	441009	557629	99.9842	112.663	35.1	59.6
NODE_6_length_544069_cov_41.067861	1	544069	401446	544069	100	105.208	35.2	59.8
NODE_7_length_521296_cov_41.255292	1	521296	384819	521296	100	105.353	35.2	59.9
NODE_8_length_476297_cov_41.468806	1	476297	354297	476297	100	106.29	35.1	59.9
NODE_9_length_402447_cov_42.711383	1	402447	307936	402447	100	109.342	35.1	59.9
NODE_10_length_368534_cov_40.780262	1	368534	268334	368534	100	104.08	35.2	59.9
NODE_11_length_362918_cov_43.458432	1	362918	282332	362918	100	111.075	35.2	59.9
NODE_12_length_353187_cov_42.588193	1	353187	269288	353187	100	108.916	35.2	59.9
NODE_13_length_337130_cov_42.541790	1	337130	256972	337130	100	108.877	35.1	59.9
NODE_14_length_327417_cov_41.745604	1	327417	244702	327417	100	106.866	35.1	59.9
NODE_15_length_294507_cov_42.578803	1	294507	225169	294507	100	109.248	35.1	59.9
NODE_16_length_287935_cov_41.650269	1	287935	214572	287935	100	106.628	35.1	59.9
NODE_17_length_284128_cov_40.897004	1	284128	207260	284128	100	104.256	35.2	59.9
NODE_18_length_238291_cov_42.234004	1	238291	181570	238291	100	108.745	35.1	59.9
NODE_19_length_230432_cov_44.075266	1	230432	181858	230432	100	112.768	35.1	59.9
NODE_20_length_228207_cov_42.943563	1	228207	175552	228207	100	109.808	35.2	59.9
NODE_21_length_209890_cov_45.195498	1	209890	170971	209890	100	116.041	35.2	59.7
NODE_22_length_188953_cov_44.523296	1	188953	150158	188953	100	113.464	35.2	59.9
NODE_23_length_185034_cov_42.668366	1	185034	141178	185034	100	109.031	35.2	59.9
