#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_49460_cov_40.057246	1	49460	33264	49460	100	97.6949	35.2	59.5
NODE_2_length_30429_cov_101.589154	1	30429	47732	30429	100	229.345	34.9	46
NODE_3_length_26805_cov_463.564202	1	26805	198071	26805	100	1091.42	35.2	59.9
NODE_4_length_19429_cov_44.291546	1	19429	14150	19429	100	107.148	35.1	58.5
NODE_5_length_18366_cov_39.259336	1	18366	12329	18366	100	97.1565	35.1	59
NODE_6_length_15701_cov_45.455965	1	15701	12058	15701	100	107.803	35	54.4
NODE_7_length_11387_cov_50.221485	1	11387	10773	11387	100	137.137	34.9	55.6
NODE_8_length_9900_cov_84.195561	1	9900	19383	9900	100	276.308	35.1	54.1
NODE_9_length_8847_cov_80.909122	1	8847	15325	8847	100	241.464	35.1	53.5
NODE_10_length_8093_cov_41.025574	1	8093	5777	8093	100	103.234	35	57.1
NODE_11_length_6280_cov_40.711656	1	6280	5076	6280	100	106.66	35.1	57.9
NODE_12_length_5696_cov_43.480691	1	5696	5121	5696	100	120.775	35.1	57.2
NODE_13_length_4399_cov_72.323230	1	4399	7926	4399	100	258.147	34.7	49.3
NODE_14_length_3835_cov_45.587014	1	3835	2993	3835	100	113.074	35.1	57.2
NODE_15_length_3799_cov_734.977431	1	3799	43240	3799	100	1698.51	35.1	59.8
NODE_16_length_2247_cov_44.824885	1	2247	2184	2247	100	130.162	34.9	45.7
NODE_17_length_2139_cov_687.578565	1	2139	22597	2139	100	1572.68	35	59.7
NODE_18_length_2059_cov_42.643290	1	2059	1991	2059	100	131.898	35.2	56.5
NODE_19_length_1834_cov_40.501423	1	1834	1268	1834	100	97.1107	35	56.9
NODE_20_length_1754_cov_624.626118	1	1754	17123	1754	100	1438.62	34.9	59.6
NODE_21_length_1404_cov_618.453655	1	1404	12987	1404	100	1374.09	35.1	59.6
NODE_22_length_1356_cov_857.476153	1	1356	8743	1356	100	934.529	34.3	25.6
NODE_23_length_1355_cov_277.845853	1	1355	4703	1355	100	507.208	34.7	31.5
NODE_24_length_1302_cov_79.058776	1	1302	1816	1302	100	204.708	34.9	57.8
NODE_25_length_1245_cov_703.284247	1	1245	13056	1245	100	1551.72	35.1	59.3
NODE_26_length_1209_cov_92.855124	1	1209	3011	1209	100	344.311	34.7	48.5
NODE_27_length_1105_cov_286.254864	1	1105	4022	1105	100	505.929	34.2	43.9
NODE_28_length_840_cov_82.306684	1	840	1240	840	100	215	35.1	55.6
NODE_29_length_804_cov_57.398900	1	804	945	804	100	165.322	35	52.1
NODE_30_length_707_cov_732.214286	1	707	7705	707	100	1592.93	35	58.9
NODE_31_length_620_cov_678.508287	1	620	5866	620	100	1394.89	35	59.2
NODE_32_length_595_cov_280.924710	1	595	3918	595	100	892.703	35	40.3
NODE_33_length_594_cov_80.234043	1	594	696	594	100	170.04	35.4	59.3
NODE_34_length_564_cov_648.669405	1	564	5149	564	100	1332.72	35	58.7
NODE_35_length_542_cov_53.550538	1	542	615	542	100	145.474	35.1	53.7
NODE_36_length_523_cov_486.390135	1	523	3739	523	100	1058.13	35.2	54.7
NODE_37_length_500_cov_327.855792	1	500	2780	500	100	762.004	35	51.9
NODE_38_length_454_cov_435.015915	1	454	2947	454	100	912.707	35.2	53.8
NODE_39_length_435_cov_82.385475	1	435	514	435	100	155.936	35.4	52.3
NODE_40_length_419_cov_170.742690	1	419	944	419	100	316.346	34.6	26.5
NODE_41_length_402_cov_78.732308	1	402	462	402	100	167.301	35.2	54.7
NODE_42_length_387_cov_366.474194	1	387	3223	387	100	1198.08	34.5	34.4
NODE_43_length_383_cov_581.254902	1	383	3039	383	100	1143.68	35.2	55.4
NODE_44_length_376_cov_554.785953	1	376	2717	376	100	1044.27	34.7	58.4
NODE_45_length_356_cov_672.322581	1	356	3126	356	100	1268.12	34.7	58.5
NODE_46_length_351_cov_66.427007	1	351	850	351	100	221.57	35.1	33.1
NODE_47_length_347_cov_107.355556	1	347	473	347	100	187.576	35.2	49.7
NODE_48_length_344_cov_46.831461	1	344	175	344	100	74.2151	35.3	53.3
NODE_49_length_340_cov_43.019011	1	340	298	340	100	101.971	35	46.5
NODE_50_length_340_cov_39.615970	1	340	255	340	100	88.5912	35.3	46.6
NODE_51_length_338_cov_73.735632	1	338	299	338	100	127.553	35.2	50.1
NODE_52_length_322_cov_140.991837	1	322	606	322	100	263.543	35.1	56.9
NODE_53_length_311_cov_585.623932	1	311	4884	311	100	2291.93	34.4	41.3
NODE_54_length_305_cov_85.083333	1	305	880	305	100	367.492	35.1	56.8
NODE_55_length_296_cov_166.146119	1	296	2098	296	100	996.429	34.5	46.4
NODE_56_length_293_cov_78.685185	1	293	286	293	100	140.846	35	51.3
NODE_57_length_290_cov_65.906103	1	290	245	290	100	116.514	34.8	42.7
NODE_58_length_287_cov_45.004762	1	287	174	287	100	80.3101	34.2	51.3
NODE_59_length_283_cov_73.155340	1	283	588	283	100	203.943	35	38.9
NODE_60_length_282_cov_240.595122	1	282	976	282	100	492.11	35.1	39.7
NODE_61_length_271_cov_331.726804	1	271	1188	271	100	625.399	34.7	51.8
NODE_62_length_266_cov_450.756614	1	266	1635	266	100	875.737	35.2	44.7
NODE_63_length_259_cov_244.950549	1	259	662	259	100	365.097	34.9	46.4
NODE_64_length_259_cov_127.208791	1	259	334	259	100	186.575	35.5	58.1
NODE_65_length_253_cov_280.795455	1	253	857	253	100	411.091	35.1	57.2
NODE_66_length_243_cov_46.759036	1	243	307	243	100	180.082	34.8	42.6
NODE_67_length_238_cov_45.111801	1	238	333	238	100	189.912	35	32.9
NODE_68_length_235_cov_199.082278	1	235	150	235	100	88.9574	34.9	51.8
NODE_69_length_230_cov_51.751634	1	230	51	230	100	32.7652	35	52.8
NODE_70_length_224_cov_291.054422	1	224	518	224	100	330.089	35.2	49.1
NODE_71_length_221_cov_96.770833	1	221	340	221	100	184.769	34.7	46.3
NODE_72_length_220_cov_46.139860	1	220	116	220	100	74.3	34.9	52.2
NODE_73_length_218_cov_72.489362	1	218	256	218	100	140.523	35	40
NODE_74_length_218_cov_50.645390	1	218	236	218	100	115.005	35.1	40.2
NODE_75_length_214_cov_384.591241	1	214	973	214	100	635.659	35	48.1
NODE_76_length_212_cov_533.370370	1	212	1506	212	100	937.594	34.2	55.7
NODE_77_length_210_cov_230.917293	1	210	25592	210	100	15975.2	32.3	46.3
NODE_78_length_209_cov_394.560606	1	209	2438	209	100	1622.87	34.3	51.6
NODE_79_length_209_cov_244.848485	1	209	377	209	100	250.086	35.1	38.1
NODE_80_length_209_cov_111.462121	1	209	418	209	100	235.703	34.4	52
NODE_81_length_206_cov_54.038760	1	206	72	206	100	47.9612	33.8	31.5
NODE_82_length_203_cov_87.507937	1	203	129	203	100	89.2463	35.2	40.8
NODE_83_length_200_cov_84.252033	1	200	226	200	100	150.03	34.5	42.7
NODE_84_length_198_cov_2098.247934	1	198	5262	198	100	3421.72	34.6	54.5
NODE_85_length_198_cov_55.264463	1	198	179	198	100	93.4899	35.2	37
NODE_86_length_196_cov_322.991597	1	196	414	196	100	297.24	35.1	39.8
NODE_87_length_196_cov_57.386555	1	196	163	196	100	108.015	34.7	47.7
NODE_88_length_194_cov_671.418803	1	194	1112	194	100	744.835	33.7	35.7
NODE_89_length_191_cov_68.596491	1	191	125	191	100	72.2251	35.5	40.9
NODE_90_length_191_cov_46.614035	1	191	57	191	100	41.178	34.8	52.9
NODE_91_length_190_cov_97.398230	1	190	206	190	100	150.421	35.1	48
NODE_92_length_181_cov_106.057692	1	181	284	181	100	202.923	34.7	49.3
NODE_93_length_181_cov_50.528846	1	181	115	181	100	86.5249	34.3	37.9
NODE_94_length_178_cov_81.772277	1	178	186	178	100	141.528	34.2	44.8
NODE_95_length_176_cov_238.131313	1	176	261	176	100	202.812	34.8	45.8
NODE_96_length_175_cov_147.224490	1	175	541	175	100	412.589	34.9	41.6
NODE_97_length_175_cov_70.489796	1	175	199	175	100	124.006	34.4	33.2
NODE_98_length_173_cov_241.906250	1	173	272	173	100	222.803	34.4	36.2
NODE_99_length_173_cov_165.593750	1	173	303	173	100	212.179	34	42.4
NODE_100_length_173_cov_96.802083	1	173	126	173	100	99.8844	34.2	30.8
NODE_101_length_173_cov_89.031250	1	173	146	173	100	111.723	34.3	45.4
NODE_102_length_169_cov_163.663043	1	169	282	169	100	214.041	35.1	41
