#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_49460_cov_40.057246	1	49460	33358	49460	100	97.9613	35.2	59.4
NODE_2_length_30429_cov_101.589154	1	30429	51249	30429	100	238.893	34.8	43.8
NODE_3_length_26805_cov_463.564202	1	26805	198077	26805	100	1091.43	35.2	60
NODE_4_length_19429_cov_44.291546	1	19429	19170	19429	100	130.433	35.1	55.3
NODE_5_length_18366_cov_39.259336	1	18366	15914	18366	100	106.917	35.1	58.8
NODE_6_length_15701_cov_45.455965	1	15701	13604	15701	100	115.691	34.9	49.5
NODE_7_length_11387_cov_50.221485	1	11387	13866	11387	100	163.43	34.8	52.7
NODE_8_length_9900_cov_84.195561	1	9900	20264	9900	100	286.286	35.1	56.2
NODE_9_length_8847_cov_80.909122	1	8847	16498	8847	100	253.697	35	55.1
NODE_10_length_8093_cov_41.025574	1	8093	6281	8093	100	108.979	35	54.1
NODE_11_length_6280_cov_40.711656	1	6280	5075	6280	100	106.655	35.1	57.9
NODE_12_length_5696_cov_43.480691	1	5696	6224	5696	100	137.081	35.2	56.9
NODE_13_length_4399_cov_72.323230	1	4399	12715	4399	100	376.353	34.7	47.1
NODE_14_length_3835_cov_45.587014	1	3835	3821	3835	100	133.489	35.1	53
NODE_15_length_3799_cov_734.977431	1	3799	44630	3799	100	1724.17	35	59.9
NODE_16_length_2247_cov_44.824885	1	2247	2550	2247	100	136.824	34.7	42.2
NODE_17_length_2139_cov_687.578565	1	2139	24097	2139	100	1623.65	35	59.9
NODE_18_length_2059_cov_42.643290	1	2059	1991	2059	100	131.897	35.2	56.5
NODE_19_length_1834_cov_40.501423	1	1834	1309	1834	100	98.2634	34.9	55.3
NODE_20_length_1754_cov_624.626118	1	1754	18954	1754	100	1513.42	34.9	59.9
NODE_21_length_1404_cov_618.453655	1	1404	13919	1404	100	1422.65	35.1	59.8
NODE_22_length_1356_cov_857.476153	1	1356	9418	1356	100	997.645	34.3	25.3
NODE_23_length_1355_cov_277.845853	1	1355	6040	1355	100	627.319	34.8	34.9
NODE_24_length_1302_cov_79.058776	1	1302	2133	1302	100	226.144	34.9	59
NODE_25_length_1245_cov_703.284247	1	1245	14749	1245	100	1645.58	35.1	59.9
NODE_26_length_1209_cov_92.855124	1	1209	5370	1209	100	565.727	34.7	48.1
NODE_27_length_1105_cov_286.254864	1	1105	6911	1105	100	788.798	34.2	37.8
NODE_28_length_840_cov_82.306684	1	840	2177	840	100	347.373	35	57
NODE_29_length_804_cov_57.398900	1	804	7270	804	100	1208.94	34.7	51.4
NODE_30_length_707_cov_732.214286	1	707	9791	707	100	1826.7	35	59
NODE_31_length_620_cov_678.508287	1	620	6775	620	100	1497.14	35	59.7
NODE_32_length_595_cov_280.924710	1	595	16308	595	100	2286.74	35	49.3
NODE_33_length_594_cov_80.234043	1	594	767	594	100	179.232	35.4	58.7
NODE_34_length_564_cov_648.669405	1	564	6472	564	100	1500.13	35	59.8
NODE_35_length_542_cov_53.550538	1	542	870	542	100	207.389	35.2	59.8
NODE_36_length_523_cov_486.390135	1	523	4626	523	100	1302.21	35.2	59.2
NODE_37_length_500_cov_327.855792	1	500	3532	500	100	917.208	34.9	53.9
