#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135593_cov_40.957521	1	1135593	824540	1135593	100	103.797	35.2	60
NODE_2_length_804112_cov_42.490005	1	804112	605452	804112	100	107.592	35.2	60
NODE_3_length_740418_cov_42.395271	1	740418	555198	740418	100	107.299	35.2	60
NODE_4_length_564992_cov_40.800517	1	564992	408402	564992	100	103.178	35.2	60
NODE_5_length_557717_cov_43.498865	1	557717	432065	557629	99.9842	110.609	35.2	59.8
NODE_6_length_544069_cov_41.067861	1	544069	396563	544069	100	104.134	35.2	60
NODE_7_length_521296_cov_41.255292	1	521296	381251	521296	100	104.422	35.2	60
NODE_8_length_476297_cov_41.468806	1	476297	350676	476297	100	105.264	35.2	60
NODE_9_length_402447_cov_42.711383	1	402447	304732	402447	100	108.263	35.2	60
NODE_10_length_368534_cov_40.780262	1	368534	265752	368534	100	103.117	35.2	60
NODE_11_length_362918_cov_43.458432	1	362918	279356	362918	100	110.006	35.2	60
NODE_12_length_353187_cov_42.588193	1	353187	266736	353187	100	107.934	35.2	60
NODE_13_length_337130_cov_42.541790	1	337130	254391	337130	100	107.83	35.2	60
NODE_14_length_327417_cov_41.745604	1	327417	242033	327417	100	105.784	35.2	60
NODE_15_length_294507_cov_42.578803	1	294507	222639	294507	100	108.066	35.2	59.9
NODE_16_length_287935_cov_41.650269	1	287935	212453	287935	100	105.603	35.2	60
NODE_17_length_284128_cov_40.897004	1	284128	205213	284128	100	103.294	35.2	60
NODE_18_length_238291_cov_42.234004	1	238291	178954	238291	100	107.296	35.2	60
NODE_19_length_230432_cov_44.075266	1	230432	180057	230432	100	111.707	35.2	60
NODE_20_length_228207_cov_42.943563	1	228207	173937	228207	100	108.84	35.2	60
NODE_21_length_209890_cov_45.195498	1	209890	168611	209890	100	114.674	35.2	59.9
NODE_22_length_188953_cov_44.523296	1	188953	148911	188953	100	112.55	35.2	60
NODE_23_length_185034_cov_42.668366	1	185034	139786	185034	100	107.993	35.2	60
NODE_24_length_178636_cov_41.453973	1	178636	130855	178636	100	104.877	35.2	60
NODE_25_length_166927_cov_40.697782	1	166927	120556	166927	100	103.04	35.2	59.8
NODE_26_length_158077_cov_42.272918	1	158077	118598	158077	100	107.29	35.2	59.8
NODE_27_length_134160_cov_40.933280	1	134160	97574	134160	100	104.008	35.2	60
NODE_28_length_118776_cov_40.886267	1	118776	85677	118776	100	103.188	35.2	60
NODE_29_length_96039_cov_41.607418	1	96039	71330	96039	100	106.021	35.2	60
NODE_30_length_91049_cov_43.784131	1	91049	70641	91049	100	110.963	35.2	60
NODE_31_length_88140_cov_42.573794	1	88140	66306	88140	100	107.463	35.2	59.9
NODE_32_length_83093_cov_41.848198	1	83093	61709	83093	100	106.108	35.2	60
NODE_33_length_78574_cov_46.055709	1	78574	66369	78574	100	120.106	35.2	59.1
NODE_34_length_70927_cov_44.124488	1	70927	55698	70927	100	111.852	35.2	59.4
NODE_35_length_58969_cov_42.526438	1	58969	44079	58933	99.939	106.73	35.2	59.8
NODE_36_length_58614_cov_43.319866	1	58614	45065	58614	100	109.788	35.2	60
NODE_37_length_46441_cov_51.390583	1	46441	38809	46441	100	118.468	35.2	58.7
NODE_38_length_38834_cov_40.637975	1	38834	27926	38751	99.7863	103.005	35.2	60
NODE_39_length_30133_cov_49.349947	1	30133	26623	30133	100	125.165	35.2	59.7
NODE_40_length_27745_cov_36.529709	1	27745	18050	27745	100	92.7702	35.2	59.8
NODE_41_length_26805_cov_578.404482	1	26805	276047	26805	100	1436.43	35.3	59.9
NODE_42_length_24533_cov_39.532303	1	24533	17302	24533	100	99.9784	35.2	59.3
NODE_43_length_19522_cov_53.641039	1	19522	18795	19522	100	135.541	35.3	58.4
NODE_44_length_18442_cov_47.493057	1	18442	15636	18442	100	120.483	35.2	59.8
NODE_45_length_15682_cov_49.732073	1	15682	13702	15682	100	124.835	35.2	59.9
NODE_46_length_11376_cov_60.277635	1	11376	13217	11376	100	160.906	35.1	57.1
NODE_47_length_9834_cov_69.866557	1	9834	16638	9834	100	233.176	35.3	52.4
NODE_48_length_8443_cov_39.976811	1	8443	7846	8443	100	129.297	35	53.3
NODE_49_length_7946_cov_48.185030	1	7946	6760	7946	100	121.505	35.2	59.6
NODE_50_length_6342_cov_41.718436	1	6342	5126	6342	100	113.756	35.2	55.3
NODE_51_length_5830_cov_51.535894	1	5830	5302	5830	100	128.328	35.2	58
NODE_52_length_4289_cov_62.451330	1	4289	6235	4289	100	199.318	35.2	50.4
NODE_53_length_3802_cov_53.901477	1	3802	3601	3802	100	134.337	35.3	59.7
NODE_54_length_3799_cov_887.510478	1	3799	57151	3799	100	2133.77	35.2	59.8
NODE_55_length_2370_cov_66.754470	1	2370	3427	2370	100	203.235	35.2	51.9
NODE_56_length_2139_cov_831.848206	1	2139	30034	2139	100	1984.31	35.1	59.6
NODE_57_length_1834_cov_49.412066	1	1834	1562	1834	100	120.359	35.1	59.6
NODE_58_length_1754_cov_754.980322	1	1754	22454	1754	100	1801.94	35.1	59.6
NODE_59_length_1496_cov_128.884426	1	1496	3461	1496	100	315.685	34.8	36.3
NODE_60_length_1422_cov_47.891450	1	1422	1151	1422	100	113.262	35.2	58.4
NODE_61_length_1279_cov_178.979201	1	1279	5159	1279	100	556.516	35.1	46.3
NODE_62_length_1245_cov_844.963185	1	1245	17106	1245	100	1941.33	35.2	59.5
NODE_63_length_1223_cov_73.886562	1	1223	1594	1223	100	182.859	35.2	58.8
NODE_64_length_1084_cov_710.592850	1	1084	13014	1084	100	1699.86	35.3	57.8
NODE_65_length_1051_cov_84.895277	1	1051	1464	1051	100	196.232	35.3	59.5
NODE_66_length_994_cov_54.707743	1	994	1177	994	100	170.176	35.4	54.8
NODE_67_length_963_cov_69.707675	1	963	2079	963	100	306.468	35	51.4
NODE_68_length_926_cov_62.621908	1	926	1128	926	100	173.835	35.3	55.3
NODE_69_length_924_cov_1.220779	1	924	16	924	100	2.6039	35.3	60
NODE_70_length_917_cov_1.610714	1	917	20	917	100	3.2868	35.4	60
NODE_71_length_878_cov_1.364544	1	878	19	878	100	3.11048	34.7	60
NODE_72_length_876_cov_1.382979	1	876	22	876	100	3.69292	34.6	60
NODE_73_length_870_cov_48.525851	1	870	692	870	100	111.169	35.2	58.4
NODE_74_length_860_cov_74.605364	1	860	1591	860	100	229.924	35.2	41.3
NODE_75_length_843_cov_712.426893	1	843	9714	843	100	1611.15	35.1	59.5
NODE_76_length_771_cov_1.505764	1	771	21	771	100	3.71077	34.6	60
NODE_77_length_751_cov_99.298220	1	751	1176	751	100	220.422	35.2	59.2
NODE_78_length_749_cov_88.419643	1	749	1192	749	100	223.143	35.3	57.5
NODE_79_length_732_cov_72.203053	1	732	2603	732	100	485.798	35.1	46
NODE_80_length_725_cov_91.828704	1	725	3738	725	100	704.579	35.1	42
NODE_81_length_702_cov_1.508800	1	702	16	702	100	3.38177	34.8	60
NODE_82_length_687_cov_77.098361	1	687	870	687	100	177.153	35.4	57.4
NODE_83_length_635_cov_105.225806	1	635	1202	635	100	264.209	35.3	55
NODE_84_length_621_cov_0.770221	1	621	14	621	100	2.46538	35.1	57.1
NODE_85_length_620_cov_824.349908	1	620	7850	620	100	1770.29	35.1	59.3
NODE_86_length_599_cov_1.835249	1	599	17	599	100	4.22871	34.6	60
NODE_87_length_585_cov_1.513780	1	585	12	585	100	3.08718	35.6	60
NODE_88_length_582_cov_2.443564	1	582	18	582	100	4.50172	35.4	60
NODE_89_length_548_cov_1.237792	1	548	8	548	100	2.18978	36.1	60
NODE_90_length_546_cov_776.660981	1	546	6450	546	100	1647.49	35.1	58.9
NODE_91_length_543_cov_1.491416	1	543	16	543	100	3.96317	35.5	60
NODE_92_length_527_cov_1.500000	1	527	11	527	100	3.03795	36.1	60
NODE_93_length_522_cov_66.853933	1	522	722	522	100	186.477	34.9	46.3
NODE_94_length_512_cov_265.158621	1	512	3389	512	100	872.533	34.8	46.9
NODE_95_length_512_cov_1.234483	1	512	10	512	100	2.94922	33.6	60
NODE_96_length_508_cov_1.468677	1	508	14	508	100	3.83071	34.5	60
NODE_97_length_503_cov_1.396714	1	503	10	503	100	2.99801	34.6	60
NODE_98_length_499_cov_1.668246	1	499	12	499	100	3.63126	34.8	60
NODE_99_length_495_cov_1.674641	1	495	14	495	100	3.58384	34.8	58.6
NODE_100_length_486_cov_1.652812	1	486	11	486	100	3.4177	34.6	60
NODE_101_length_485_cov_83.171569	1	485	615	485	100	176.635	35	58.9
NODE_102_length_475_cov_105.768844	1	475	720	475	100	211.667	35.5	59.4
NODE_103_length_465_cov_133.956186	1	465	970	465	100	280.077	35.2	55.9
NODE_104_length_458_cov_297.388451	1	458	5233	458	100	1581.88	35	50.2
NODE_105_length_456_cov_1.171504	1	456	6	456	100	1.98684	36	60
NODE_106_length_454_cov_0.981432	1	454	5	454	100	1.663	36.6	60
NODE_107_length_450_cov_1.608579	1	450	10	450	100	3.28444	35.6	60
NODE_108_length_449_cov_86.696237	1	449	576	449	100	178.996	35.3	59
NODE_109_length_445_cov_1.206522	1	445	8	445	100	2.71461	33.7	60
NODE_110_length_429_cov_0.840909	1	429	4	429	100	1.40793	36.3	60
NODE_111_length_429_cov_0.798295	1	429	8	429	100	2.48252	35	60
NODE_112_length_425_cov_79.885057	1	425	632	425	100	197.04	35.2	49.1
NODE_113_length_422_cov_1.402899	1	422	8	422	100	2.86256	34.7	60
NODE_114_length_416_cov_1.073746	1	416	6	416	100	2.09615	33.6	60
NODE_115_length_413_cov_85.342262	1	413	546	413	100	185.053	35.4	55.2
NODE_116_length_411_cov_0.808383	1	411	4	411	100	1.46959	33.7	60
NODE_117_length_406_cov_1.227964	1	406	6	406	100	2.133	35.5	60
NODE_118_length_402_cov_92.156923	1	402	586	402	100	202.06	35.3	56
NODE_119_length_398_cov_1.012461	1	398	5	398	100	1.89698	34.7	60
NODE_120_length_396_cov_1.855799	1	396	8	396	100	3.05051	36	60
NODE_121_length_395_cov_0.933962	1	395	6	395	100	2.17468	34.6	60
NODE_122_length_389_cov_71.009615	1	389	389	389	100	138.846	35.1	59.4
NODE_123_length_388_cov_2.581994	1	388	12	388	100	4.58247	36.2	60
NODE_124_length_383_cov_694.542484	1	383	3772	383	100	1379.77	35.3	56.9
NODE_125_length_376_cov_700.464883	1	376	3778	376	100	1379.2	34.8	58.5
NODE_126_length_364_cov_1572.512195	1	364	7578	364	100	2697.86	35.1	52.8
NODE_127_length_364_cov_2.508711	1	364	14	364	100	4.51099	36.3	60
NODE_128_length_364_cov_1.574913	1	364	8	364	100	3.07692	35.6	60
NODE_129_length_360_cov_2.325088	1	360	50	360	100	10.6056	34	55.2
NODE_130_length_358_cov_1.053381	1	358	4	358	100	1.68715	35.4	60
NODE_131_length_357_cov_81.942857	1	357	403	357	100	157.532	34.9	59
NODE_132_length_356_cov_816.996416	1	356	4125	356	100	1598.55	34.8	58.7
NODE_133_length_356_cov_0.767025	1	356	3	356	100	1.27247	29.7	60
NODE_134_length_345_cov_81.451493	1	345	391	345	100	153.829	35.4	58.8
NODE_135_length_344_cov_2.464419	1	344	81	344	100	15.1977	35.5	38.5
NODE_136_length_343_cov_1133.827068	1	343	5193	343	100	2108.28	35.1	57.9
NODE_137_length_341_cov_159.075758	1	341	921	341	100	360.545	35.1	52.1
NODE_138_length_339_cov_1.541985	1	339	7	339	100	3.11799	34.1	60
NODE_139_length_338_cov_0.858238	1	338	10	338	100	2.97633	35.5	57.2
NODE_140_length_330_cov_1.837945	1	330	8	330	100	3.41818	35.2	60
NODE_141_length_329_cov_1.523810	1	329	6	329	100	2.7538	35.8	60
NODE_142_length_327_cov_2.504000	1	327	9	327	100	4.15596	35.6	60
NODE_143_length_322_cov_168.502041	1	322	716	322	100	310.925	35.3	58.3
NODE_144_length_318_cov_1.228216	1	318	4	318	100	1.89937	36.4	60
NODE_145_length_318_cov_1.087137	1	318	4	318	100	1.89308	35.9	60
NODE_146_length_312_cov_1.480851	1	312	6	312	100	2.90385	34.8	60
NODE_147_length_309_cov_813.663793	1	309	3363	309	100	1476.71	35	58
NODE_148_length_309_cov_1.163793	1	309	5	309	100	2.11974	36.6	60
NODE_149_length_307_cov_77.543478	1	307	336	307	100	150.244	35.1	53.4
NODE_150_length_307_cov_51.391304	1	307	190	307	100	84.6059	35.4	58.1
NODE_151_length_306_cov_0.965066	1	306	4	306	100	1.97386	31.3	34.5
NODE_152_length_305_cov_114.969298	1	305	488	305	100	217.593	35.1	57.1
NODE_153_length_305_cov_2.333333	1	305	9	305	100	4.45574	35.5	60
NODE_154_length_305_cov_2.035088	1	305	7	305	100	3.28852	36.5	60
NODE_155_length_304_cov_1.920705	1	304	6	304	100	2.95395	35.9	60
NODE_156_length_301_cov_623.325893	1	301	3063	301	100	1367.68	35.3	45.5
NODE_157_length_299_cov_1.531532	1	299	5	299	100	2.52508	35.3	60
NODE_158_length_297_cov_2.218182	1	297	8	297	100	3.71717	36.8	60
NODE_159_length_294_cov_1.364055	1	294	4	294	100	2.05442	36.7	60
NODE_160_length_293_cov_86.273148	1	293	325	293	100	152.331	35.3	58.4
NODE_161_length_292_cov_1.376744	1	292	4	292	100	2.06849	36.5	60
NODE_162_length_291_cov_2.411215	1	291	9	291	100	4.40893	35.2	60
NODE_163_length_289_cov_1.419811	1	289	5	289	100	2.61246	34.9	60
NODE_164_length_289_cov_1.396226	1	289	4	289	100	2.08997	36	60
NODE_165_length_288_cov_1.289100	1	288	4	288	100	2.09722	33.6	60
NODE_166_length_288_cov_1.255924	1	288	4	288	100	2.09722	34.8	60
NODE_167_length_287_cov_57.614286	1	287	262	287	100	120.098	35.1	50.5
NODE_168_length_287_cov_0.780952	1	287	25	287	100	5.8885	36	53.8
NODE_169_length_284_cov_1.222222	1	284	4	284	100	2.12676	34.1	60
NODE_170_length_283_cov_1.436893	1	283	4	283	100	2.13428	36.6	60
NODE_171_length_283_cov_1.000000	1	283	10	283	100	3.13074	35	60
NODE_172_length_282_cov_300.921951	1	282	1345	282	100	646.34	35.2	42.2
