#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135693_cov_34.345393	1	1135693	637515	1135693	100	84.0499	35.1	59.9
NODE_2_length_848941_cov_34.707477	1	848941	480588	848941	100	84.7874	35.1	59.9
NODE_3_length_804149_cov_35.572006	1	804149	466695	804149	100	86.9121	35.1	59.9
NODE_4_length_740313_cov_35.588518	1	740313	429995	740313	100	87.0067	35.1	60
NODE_5_length_640544_cov_35.711649	1	640544	374299	640544	100	87.4821	35.1	59.9
NODE_6_length_557872_cov_36.374530	1	557872	332956	557784	99.9842	89.313	35.1	59.8
NODE_7_length_530878_cov_33.793516	1	530878	291626	530878	100	82.2767	35.1	59.9
NODE_8_length_522024_cov_34.378201	1	522024	293081	522024	100	84.0951	35.1	59.9
NODE_9_length_476298_cov_34.731746	1	476298	270843	476298	100	85.1553	35.1	59.9
NODE_10_length_449190_cov_35.467174	1	449190	260680	449190	100	86.8769	35.1	60
NODE_11_length_368608_cov_34.257512	1	368608	205961	368608	100	83.6814	35.1	60
NODE_12_length_362954_cov_36.374000	1	362954	215149	362954	100	88.8078	35.1	60
NODE_13_length_337202_cov_35.682628	1	337202	196367	337202	100	87.1998	35.1	59.9
NODE_14_length_294507_cov_35.698461	1	294507	172290	294507	100	87.5658	35.1	59.9
NODE_15_length_287902_cov_34.952700	1	287902	164714	287902	100	85.7022	35.1	60
NODE_16_length_284128_cov_34.288674	1	284128	158437	284128	100	83.5588	35.1	59.9
NODE_17_length_243518_cov_35.854462	1	243518	142506	243518	100	87.6482	35.1	59.9
NODE_18_length_230432_cov_36.954110	1	230432	139145	230432	100	90.4735	35.1	59.9
NODE_19_length_228349_cov_36.627160	1	228349	134141	228349	100	87.8749	35.1	59.6
NODE_20_length_209959_cov_37.772344	1	209959	129395	209959	100	92.343	35.1	59.8
NODE_21_length_188953_cov_37.114207	1	188953	113986	188953	100	90.3674	35.1	60
NODE_22_length_178321_cov_34.836471	1	178321	101620	178321	100	85.3339	35.1	59.9
NODE_23_length_167057_cov_34.435597	1	167057	94625	167057	100	84.5618	35.1	59.4
NODE_24_length_157916_cov_35.173132	1	157916	91046	157916	100	86.2662	35.1	59.9
NODE_25_length_134160_cov_34.375424	1	134160	75623	134160	100	84.4202	35.1	59.9
NODE_26_length_118848_cov_34.222900	1	118848	66223	118848	100	83.4704	35.1	59.9
NODE_27_length_91049_cov_36.745669	1	91049	54772	91049	100	90.0917	35.1	59.9
NODE_28_length_88140_cov_35.405289	1	88140	50804	88140	100	86.299	35.1	59.9
NODE_29_length_83093_cov_34.933748	1	83093	47364	83093	100	85.3858	35.1	60
NODE_30_length_78574_cov_38.432029	1	78574	50991	78574	100	96.749	35.1	58.7
