#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135694_cov_40.711655	1	1135694	638670	1135694	100	84.1119	35.1	59.9
NODE_2_length_848616_cov_41.091892	1	848616	480554	848616	100	84.8091	35.1	59.9
NODE_3_length_740508_cov_42.191475	1	740508	430642	740508	100	87.1088	35.1	59.9
NODE_4_length_642962_cov_42.570146	1	642962	378189	642962	100	87.9811	35.1	59.8
NODE_5_length_640604_cov_42.359298	1	640604	374946	640604	100	87.6029	35.1	59.9
NODE_6_length_557703_cov_43.064916	1	557703	335687	557630	99.9869	89.9928	35.1	59.7
NODE_7_length_544070_cov_40.786922	1	544070	306423	544070	100	84.2275	35.1	59.9
NODE_8_length_530757_cov_39.900049	1	530757	292742	530757	100	82.4082	35.1	59.7
NODE_9_length_476298_cov_41.262578	1	476298	270945	476298	100	85.1681	35.1	59.9
NODE_10_length_449187_cov_42.079181	1	449187	260680	449187	100	86.8775	35.1	60
NODE_11_length_433264_cov_41.358739	1	433264	246637	433261	99.9993	85.1562	35.1	59.8
NODE_12_length_368608_cov_40.552854	1	368608	220203	368608	100	86.5639	35.1	56.1
NODE_13_length_362955_cov_43.033527	1	362955	215542	362955	100	88.8915	35.1	59.9
NODE_14_length_337229_cov_42.364812	1	337229	196374	337229	100	87.1945	35.1	59.9
NODE_15_length_294507_cov_42.407873	1	294507	172345	294507	100	87.5822	35.1	59.9
NODE_16_length_287450_cov_41.582271	1	287450	164608	287445	99.9983	85.7729	35.1	60
NODE_17_length_284143_cov_40.545239	1	284143	158854	284143	100	83.7377	35.1	60
NODE_18_length_230432_cov_43.934948	1	230432	139204	230432	100	90.4942	35.1	59.9
NODE_19_length_228371_cov_43.506084	1	228371	139693	228371	100	89.8185	34.9	57.6
NODE_20_length_209863_cov_44.662528	1	209863	131836	209863	100	93.8773	35.1	59.4
NODE_21_length_188953_cov_43.808366	1	188953	113987	188953	100	90.3677	35.1	60
NODE_22_length_178321_cov_41.349162	1	178321	101620	178321	100	85.3338	35.1	59.9
NODE_23_length_166506_cov_39.449195	1	166506	90823	166506	100	81.522	35.1	59.9
NODE_24_length_157916_cov_41.746546	1	157916	92290	157916	100	87.0977	35.1	59.8
NODE_25_length_134160_cov_40.887846	1	134160	75677	134160	100	84.4478	35.1	59.9
NODE_26_length_118845_cov_40.499638	1	118845	72279	118845	100	86.8531	34.9	55
NODE_27_length_91049_cov_43.674284	1	91049	54770	91049	100	90.086	35.1	59.9
NODE_28_length_87725_cov_41.847629	1	87725	50538	87725	100	86.2503	35.1	60
NODE_29_length_83310_cov_41.079187	1	83310	47071	83310	100	84.5056	35.1	59.8
NODE_30_length_83094_cov_41.387812	1	83094	51412	83094	100	87.0256	35.1	59.9
NODE_31_length_78615_cov_47.066452	1	78615	76421	78615	100	142.284	35	57.3
NODE_32_length_71019_cov_44.349948	1	71019	47246	71019	100	96.6524	35.1	59
NODE_33_length_46399_cov_45.886274	1	46399	29350	46399	100	94.4424	35.1	59.6
NODE_34_length_40180_cov_41.072214	1	40180	56828	40180	100	148.827	33.4	24
NODE_35_length_34254_cov_45.186295	1	34254	47260	34254	100	132.272	34.8	32
NODE_36_length_30489_cov_48.465902	1	30489	22050	30489	100	106.105	35.1	57.3
NODE_37_length_26805_cov_522.434301	1	26805	197717	26805	100	1090.86	35.2	60
NODE_38_length_19354_cov_49.044509	1	19354	15172	19354	100	112.927	35.2	59.5
NODE_39_length_19276_cov_47.293922	1	19276	17172	19276	100	129.028	35	56.2
NODE_40_length_15682_cov_49.042486	1	15682	10706	15682	100	101.546	35.1	59.4
