#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135593_cov_40.957521	1	1135593	832690	1135593	100	104.786	35.2	59.9
NODE_2_length_804112_cov_42.490005	1	804112	611420	804112	100	108.608	35.2	59.9
NODE_3_length_740418_cov_42.395271	1	740418	560625	740418	100	108.318	35.2	59.9
NODE_4_length_564992_cov_40.800517	1	564992	411991	564992	100	104.055	35.2	59.9
NODE_5_length_557717_cov_43.498865	1	557717	436321	557629	99.9842	111.668	35.2	59.8
NODE_6_length_544069_cov_41.067861	1	544069	400312	544069	100	105.094	35.2	59.9
NODE_7_length_521296_cov_41.255292	1	521296	384723	521296	100	105.341	35.2	59.9
NODE_8_length_476297_cov_41.468806	1	476297	354162	476297	100	106.272	35.1	59.9
NODE_9_length_402447_cov_42.711383	1	402447	307869	402447	100	109.329	35.1	59.9
NODE_10_length_368534_cov_40.780262	1	368534	268310	368534	100	104.074	35.2	59.9
NODE_11_length_362918_cov_43.458432	1	362918	281929	362918	100	110.985	35.2	59.9
NODE_12_length_353187_cov_42.588193	1	353187	269278	353187	100	108.914	35.2	59.9
NODE_13_length_337130_cov_42.541790	1	337130	256839	337130	100	108.83	35.1	59.9
NODE_14_length_327417_cov_41.745604	1	327417	244570	327417	100	106.837	35.1	59.9
NODE_15_length_294507_cov_42.578803	1	294507	225093	294507	100	109.228	35.1	59.9
NODE_16_length_287935_cov_41.650269	1	287935	214570	287935	100	106.627	35.1	59.9
NODE_17_length_284128_cov_40.897004	1	284128	207083	284128	100	104.207	35.2	59.9
NODE_18_length_238291_cov_42.234004	1	238291	181005	238291	100	108.441	35.1	59.9
NODE_19_length_230432_cov_44.075266	1	230432	181758	230432	100	112.738	35.1	59.9
NODE_20_length_228207_cov_42.943563	1	228207	175509	228207	100	109.796	35.2	59.9
NODE_21_length_209890_cov_45.195498	1	209890	170143	209890	100	115.686	35.2	59.8
NODE_22_length_188953_cov_44.523296	1	188953	150148	188953	100	113.46	35.2	59.9
NODE_23_length_185034_cov_42.668366	1	185034	141172	185034	100	109.029	35.2	59.9
NODE_24_length_178636_cov_41.453973	1	178636	132262	178636	100	105.949	35.1	59.9
NODE_25_length_166927_cov_40.697782	1	166927	121658	166927	100	103.978	35.2	59.7
NODE_26_length_158077_cov_42.272918	1	158077	119900	158077	100	108.42	35.1	59.8
NODE_27_length_134160_cov_40.933280	1	134160	98610	134160	100	105.062	35.1	59.9
NODE_28_length_118776_cov_40.886267	1	118776	86415	118776	100	104.055	35.2	59.9
NODE_29_length_96039_cov_41.607418	1	96039	72389	96039	100	107.438	35.1	59.9
NODE_30_length_91049_cov_43.784131	1	91049	71385	91049	100	112.09	35.1	59.9
NODE_31_length_88140_cov_42.573794	1	88140	66938	88140	100	108.447	35.2	59.9
NODE_32_length_83093_cov_41.848198	1	83093	62259	83093	100	107.03	35.1	59.9
NODE_33_length_78574_cov_46.055709	1	78574	68959	78574	100	122.044	35.1	57.8
NODE_34_length_70927_cov_44.124488	1	70927	56227	70927	100	112.933	35.2	59.4
NODE_35_length_58969_cov_42.526438	1	58969	44465	58956	99.978	107.656	35.2	59.7
NODE_36_length_58614_cov_43.319866	1	58614	45431	58614	100	110.691	35.1	59.9
NODE_37_length_46441_cov_51.390583	1	46441	39042	46441	100	119.293	35.1	58.9
NODE_38_length_38834_cov_40.637975	1	38834	28269	38749	99.7811	104.201	35.1	59.9
NODE_39_length_30133_cov_49.349947	1	30133	26835	30133	100	126.353	35.1	59.7
NODE_40_length_27745_cov_36.529709	1	27745	18202	27745	100	93.5915	35.2	59.8
NODE_41_length_26805_cov_578.404482	1	26805	276862	26805	100	1441.29	35.3	59.9
NODE_42_length_24533_cov_39.532303	1	24533	34759	24533	100	128.532	33.6	33.1
NODE_43_length_19522_cov_53.641039	1	19522	18950	19522	100	136.962	35.2	58.4
NODE_44_length_18442_cov_47.493057	1	18442	15743	18442	100	121.326	35.2	59.7
NODE_45_length_15682_cov_49.732073	1	15682	13832	15682	100	125.859	35.2	59.8
NODE_46_length_11376_cov_60.277635	1	11376	13448	11376	100	164.778	35	56.8
NODE_47_length_9834_cov_69.866557	1	9834	16972	9834	100	238.754	35.2	52.3
NODE_48_length_8443_cov_39.976811	1	8443	8069	8443	100	132.943	34.9	52.9
