#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NODE_1_length_1135693_cov_34.345393	1	1135693	638677	1135693	100	84.1135	35.1	59.9
NODE_2_length_848941_cov_34.707477	1	848941	480605	848941	100	84.7885	35.1	59.9
NODE_3_length_804149_cov_35.572006	1	804149	466841	804149	100	86.9207	35.1	59.9
NODE_4_length_740313_cov_35.588518	1	740313	430422	740313	100	87.0852	35.1	59.9
NODE_5_length_640544_cov_35.711649	1	640544	374959	640544	100	87.6115	35.1	59.9
NODE_6_length_557872_cov_36.374530	1	557872	338788	557784	99.9842	90.6253	35.1	59.8
NODE_7_length_530878_cov_33.793516	1	530878	292680	530878	100	82.3839	35.1	59.7
NODE_8_length_522024_cov_34.378201	1	522024	293190	522024	100	84.1085	35.1	59.9
NODE_9_length_476298_cov_34.731746	1	476298	270937	476298	100	85.1675	35.1	59.9
NODE_10_length_449190_cov_35.467174	1	449190	260734	449190	100	86.8805	35.1	59.9
NODE_11_length_368608_cov_34.257512	1	368608	218616	368608	100	86.2549	35.1	56.5
NODE_12_length_362954_cov_36.374000	1	362954	215550	362954	100	88.8945	35.1	59.9
NODE_13_length_337202_cov_35.682628	1	337202	196370	337202	100	87.2	35.1	59.9
NODE_14_length_294507_cov_35.698461	1	294507	172345	294507	100	87.5806	35.1	59.9
NODE_15_length_287902_cov_34.952700	1	287902	164713	287902	100	85.702	35.1	60
NODE_16_length_284128_cov_34.288674	1	284128	158570	284128	100	83.5952	35.1	59.9
NODE_17_length_243518_cov_35.854462	1	243518	142555	243518	100	87.6641	35.1	59.9
NODE_18_length_230432_cov_36.954110	1	230432	139207	230432	100	90.4953	35.1	59.9
NODE_19_length_228349_cov_36.627160	1	228349	139204	228349	100	89.6188	34.9	57.8
NODE_20_length_209959_cov_37.772344	1	209959	132711	209959	100	94.4074	35.1	59.5
NODE_21_length_188953_cov_37.114207	1	188953	113987	188953	100	90.3677	35.1	60
NODE_22_length_178321_cov_34.836471	1	178321	101620	178321	100	85.3338	35.1	59.9
NODE_23_length_167057_cov_34.435597	1	167057	102245	167057	100	88.6169	35.1	59.2
NODE_24_length_157916_cov_35.173132	1	157916	92299	157916	100	87.1022	35.1	59.8
NODE_25_length_134160_cov_34.375424	1	134160	75624	134160	100	84.4208	35.1	59.9
NODE_26_length_118848_cov_34.222900	1	118848	69715	118848	100	85.5992	35	57
NODE_27_length_91049_cov_36.745669	1	91049	54774	91049	100	90.0923	35.1	59.9
NODE_28_length_88140_cov_35.405289	1	88140	50804	88140	100	86.299	35.1	59.9
NODE_29_length_83093_cov_34.933748	1	83093	51391	83093	100	87.0166	35.1	59.9
NODE_30_length_78574_cov_38.432029	1	78574	68775	78574	100	124.856	35	54.5
NODE_31_length_71014_cov_37.449328	1	71014	50139	71014	100	100.897	35.1	58.2
NODE_32_length_59158_cov_35.333948	1	59158	33749	59107	99.9138	85.4811	35.1	59.8
NODE_33_length_46399_cov_38.727473	1	46399	29401	46399	100	94.5174	35.1	59.6
NODE_34_length_40180_cov_34.471262	1	40180	45640	40180	100	127.866	33.6	29.9
NODE_35_length_34246_cov_38.256548	1	34246	47266	34246	100	130.025	35	32
NODE_36_length_30612_cov_44.364696	1	30612	34298	30612	100	142.874	35	47.8
NODE_37_length_27745_cov_30.498663	1	27745	14263	27745	100	76.5411	35.1	59.9
NODE_38_length_26805_cov_463.564202	1	26805	197718	26805	100	1090.87	35.2	60
NODE_39_length_24506_cov_33.273241	1	24506	29887	24506	100	129.115	33.6	26.8
NODE_40_length_22223_cov_34.879572	1	22223	12824	22223	100	85.6842	35.1	59.6
NODE_41_length_19318_cov_41.783067	1	19318	17941	19318	100	123.21	35.1	57.3
NODE_42_length_19276_cov_39.963123	1	19276	17198	19276	100	128.777	35	56.1
NODE_43_length_15682_cov_41.673887	1	15682	10708	15682	100	101.538	35.1	59.3
NODE_44_length_11376_cov_49.519249	1	11376	14583	11376	100	170.927	34.8	53.1
NODE_45_length_9783_cov_57.378735	1	9783	18999	9783	100	268.175	35.1	58.1
NODE_46_length_8367_cov_32.945476	1	8367	5836	8367	100	92.6215	35.1	54.1
NODE_47_length_7946_cov_40.040285	1	7946	5388	7946	100	100.808	35.1	59
NODE_48_length_6648_cov_62.788769	1	6648	6822	6648	100	148.147	34.7	40.7
NODE_49_length_5830_cov_42.884756	1	5830	5046	5830	100	118.443	35.2	58.3
NODE_50_length_4189_cov_43.888132	1	4189	3109	4189	100	107.468	35.1	57.3
NODE_51_length_3835_cov_45.587014	1	3835	4057	3835	100	146.294	35.1	55.6
NODE_52_length_3799_cov_734.977431	1	3799	44588	3799	100	1724	35	59.9
NODE_53_length_2247_cov_44.824885	1	2247	1671	2247	100	106.876	35.1	58.1
NODE_54_length_2139_cov_687.578565	1	2139	24090	2139	100	1623.55	35	59.9
NODE_55_length_1834_cov_40.501423	1	1834	1167	1834	100	94.6249	35	59.4
NODE_56_length_1754_cov_624.626118	1	1754	18894	1754	100	1512.5	34.9	59.9
NODE_57_length_1245_cov_703.284247	1	1245	14753	1245	100	1645.77	35.1	59.8
NODE_58_length_1223_cov_60.545375	1	1223	1383	1223	100	155.199	35.2	55.3
NODE_59_length_1084_cov_596.623635	1	1084	10614	1084	100	1455.52	35.2	59.6
NODE_60_length_1051_cov_69.619097	1	1051	1186	1051	100	161.033	35.2	59.6
NODE_61_length_1049_cov_37.745885	1	1049	5083	1049	100	359.703	35	59.3
NODE_62_length_1005_cov_59.797414	1	1005	4094	1005	100	542.474	34.8	47.1
NODE_63_length_994_cov_46.688113	1	994	1281	994	100	174.374	35.4	60
NODE_64_length_983_cov_76.973510	1	983	2661	983	100	344.395	34.8	51.3
NODE_65_length_926_cov_53.991755	1	926	1158	926	100	168.347	35.2	60
NODE_66_length_917_cov_1.441667	1	917	18	917	100	2.96401	35.3	60
NODE_67_length_870_cov_39.915511	1	870	565	870	100	93.7713	35.1	56.9
NODE_68_length_843_cov_570.258486	1	843	7922	843	100	1305.89	35	59.7
NODE_69_length_841_cov_327.715969	1	841	5205	841	100	855.854	34.7	25.7
NODE_70_length_840_cov_1.180865	1	840	15	840	100	2.69643	35.1	60
NODE_71_length_824_cov_48.452477	1	824	1142	824	100	168.233	35.1	52.7
NODE_72_length_776_cov_1.326180	1	776	18	776	100	3.49356	34.2	60
NODE_73_length_751_cov_80.581602	1	751	1376	751	100	225.134	35.2	55.6
NODE_74_length_725_cov_61.091049	1	725	10406	725	100	1914.62	34.4	47.1
NODE_75_length_702_cov_1.339200	1	702	14	702	100	3.0114	34.6	60
NODE_76_length_687_cov_61.688525	1	687	744	687	100	149.62	35.3	59.3
NODE_77_length_621_cov_0.795956	1	621	8	621	100	1.9211	34.9	60
NODE_78_length_620_cov_678.508287	1	620	6795	620	100	1498.05	35	59.7
NODE_79_length_585_cov_1.309055	1	585	10	585	100	2.5812	35.6	60
NODE_80_length_581_cov_1.678571	1	581	15	581	100	3.89845	34.4	60
NODE_81_length_546_cov_654.616205	1	546	6334	546	100	1512.3	35	59.3
NODE_82_length_541_cov_1.375000	1	541	10	541	100	2.79113	34.1	60
NODE_83_length_527_cov_64.682222	1	527	747	527	100	185.765	35.1	57.2
NODE_84_length_527_cov_1.073333	1	527	9	527	100	2.50474	35	60
NODE_85_length_517_cov_77.593182	1	517	2990	517	100	815.778	34.5	46.8
NODE_86_length_512_cov_1.234483	1	512	10	512	100	2.94922	33.6	60
NODE_87_length_508_cov_1.037123	1	508	10	508	100	2.77953	34.5	60
NODE_88_length_503_cov_1.396714	1	503	10	503	100	3.00199	34.6	60
